"","subid","groupnr","condition","subage","subgender","feel_interested","feel_distressed","feel_excited","feel_upset","feel_strong","feel_guilty","feel_scared","feel_hostile","feel_enthusiastic","feel_proud","feel_irritable","feel_alert","feel_ashamed","feel_inspired","feel_nervous","feel_determined","feel_attentive","feel_jittery","feel_active","feel_afraid","task_threatening","task_fearful","task_enjoyable","task_worrying","task_hostile","task_challenging","task_stimulating","task_exhilarating","task_painful","task_depressing","task_pitiful","task_informative","task_exciting","task_frightening","task_terrifying","task_intolerable","task_intense","task_unpleasant","cooperation","lottery1","lottery2","lottery3","lottery4","lottery5","lottery6","groupsize","subbornaus","subbornloc","subausyears","subefl"
"1",1.1,1,0,19,0,4,1,4,1,4,1,1,1,4,3,1,4,1,4,1,4,4,1,4,1,1,1,4,1,1,4,4,2,1,1,1,3,3,1,1,1,1,2,2.83333333333333,5,1,2,4,3,2,2,0,"Singapore",1,1
"2",1.2,1,0,21,0,4,1,4,1,5,1,1,1,4,5,1,4,1,4,1,4,4,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1.83333333333333,2,3,2,2,1,1,2,1,"",NA,1
"3",2.1,2,0,21,0,3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,2.83333333333333,2,3,1,3,4,4,3,0,"Malaysia",0.5,0
"4",2.2,2,0,19,0,4,1,3,1,3,1,1,1,3,3,1,2,1,1,1,2,2,2,3,1,1,1,4,1,1,1,3,2,1,1,1,1,3,1,1,1,1,1,3.83333333333333,5,6,4,4,2,2,3,1,"",4,0
"5",2.3,2,0,20,0,4,1,4,1,4,1,1,1,4,4,1,4,1,4,1,4,5,1,4,1,1,1,4,1,1,5,5,4,1,1,4,3,4,1,1,1,2,1,4.5,5,6,5,5,4,2,3,0,"Malaysia",1,0
"6",5.1,5,0,21,0,3,2,3,1,1,1,1,1,1,2,1,3,1,2,4,4,4,1,2,4,4,4,2,4,2,3,3,1,1,1,1,1,3,4,2,2,4,6,2.16666666666667,3,2,1,1,4,2,5,0,"Hong Kong",2.5,0
"7",5.2,5,0,19,0,4,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,3,1,1,1,2,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,2.5,3,1,2,3,4,2,5,0,"Malaysia",5,0
"8",5.3,5,0,20,0,4,1,4,1,3,1,1,1,4,4,1,3,1,3,1,4,4,3,4,1,1,1,4,1,1,3,3,4,2,1,1,2,4,1,1,1,2,2,3,4,5,3,4,1,1,5,0,"Malaysia",0.125,0
"9",5.4,5,0,20,0,3,3,3,1,2,1,1,1,3,1,3,4,2,2,3,3,4,1,3,1,1,1,3,1,2,2,3,2,1,1,1,2,2,1,1,1,3,3,3.33333333333333,3,5,4,1,2,5,5,0,"(not answered)",12,0
"10",5.5,5,0,23,1,4,2,3,2,3,1,1,1,3,1,1,3,1,2,1,4,4,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,4.16666666666667,5,5,4,6,2,3,5,0,"Singapore",1,1
"11",6.1,6,0,22,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3.83333333333333,4,5,4,5,3,2,4,0,"USA",0.5,1
"12",6.2,6,0,21,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,4,3.5,4,4,4,4,2,3,4,0,"USA",0,1
"13",6.3,6,0,22,0,2,1,2,1,3,1,1,1,2,3,1,4,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,3.16666666666667,4,4,4,2,2,3,4,0,"Malaysia",7,1
"14",6.4,6,0,20,0,4,1,3,1,1,1,1,1,3,1,1,2,1,1,1,2,2,1,1,1,1,1,3,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,3.83333333333333,5,6,1,5,4,2,4,0,"Singapore",0.5,1
"15",7.1,7,0,21,0,4,1,3,1,3,1,1,1,3,3,1,2,1,2,1,3,3,2,3,1,1,1,3,1,1,2,3,3,1,1,1,3,3,1,1,1,1,1,5.16666666666667,5,6,7,6,4,3,4,0,"Malaysia",3,0
"16",7.2,7,0,21,0,4,1,4,1,3,1,1,1,2,1,1,3,1,1,1,3,3,1,2,1,1,1,3,1,1,3,3,1,1,1,1,1,4,1,1,1,1,1,3.83333333333333,4,3,4,4,4,4,4,0,"Singapore",1,1
"17",7.3,7,0,21,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,3,3,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4.16666666666667,5,4,4,4,4,4,4,0,"Malaysia",0.083,1
"18",7.4,7,0,21,0,1,1,2,3,4,3,2,2,3,1,3,4,1,4,1,5,5,3,1,2,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,4.16666666666667,5,4,4,4,4,4,4,0,"Malaysia",0.083,1
"19",14.1,14,0,21,0,3,1,1,1,2,1,1,1,3,3,1,4,1,1,1,4,4,1,3,1,1,1,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,5,5,3,6,7,4,5,2,1,"",NA,0
"20",14.2,14,0,20,0,5,1,4,1,4,1,1,1,4,4,1,5,1,4,1,5,5,1,4,1,1,1,4,1,1,4,5,4,1,1,1,4,5,1,1,1,1,1,4.66666666666667,4,4,5,5,6,4,2,0,"Singapore",13,1
"21",15.1,15,0,19,1,3,2,3,1,3,2,1,2,3,2,3,4,1,1,2,3,2,4,4,1,1,2,3,2,1,4,3,1,1,1,1,1,2,1,1,1,1,1,2.66666666666667,5,4,4,1,1,1,5,1,"",NA,1
"22",15.3,15,0,22,1,4,2,1,4,2,2,4,1,3,2,2,3,1,4,4,3,4,2,3,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2.5,1,3,2,5,2,2,5,0,"Singapore",1,1
"23",15.4,15,0,21,0,4,2,4,1,3,1,1,1,4,2,1,4,1,4,1,4,4,1,3,1,1,1,4,1,1,1,5,4,1,1,1,4,5,1,1,2,1,1,3.16666666666667,2,3,2,4,3,5,5,0,"Malaysia",0.25,1
"24",15.5,15,0,20,0,3,3,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3.16666666666667,2,3,7,3,2,2,5,0,"Malaysia",0.25,1
"25",17.1,17,0,21,0,4,1,2,1,1,1,1,1,3,3,1,4,1,2,1,3,3,1,2,1,1,1,3,1,1,2,3,1,1,1,1,2,3,1,1,1,1,1,4.5,5,3,7,2,4,6,4,1,"",NA,1
"26",17.2,17,0,20,0,3,1,2,1,2,1,1,1,3,3,1,3,1,1,1,3,4,2,2,1,1,1,2,1,1,3,2,1,2,1,1,2,1,1,1,1,1,1,3,3,2,4,3,3,3,4,0,"USA",0.16,1
"27",17.3,17,0,29,0,3,1,1,1,1,1,1,1,1,1,2,2,1,3,1,1,2,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,5.33333333333333,5,6,4,5,6,6,4,0,"USA",9,1
"28",17.4,17,0,21,0,2,1,1,1,2,1,1,1,2,2,1,3,2,1,1,2,3,1,3,1,1,1,2,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,3.5,4,4,3,4,3,3,4,1,"",NA,1
"29",3.11,3,1,25,0,4,4,4,1,4,1,1,1,4,4,1,1,1,4,1,3,3,1,4,1,1,1,4,1,1,3,4,1,2,1,1,3,4,1,1,2,1,7,4.33333333333333,7,5,2,7,4,1,4,1,"",10,1
"30",3.2,3,1,18,0,5,1,4,1,3,1,1,1,5,3,1,5,1,2,1,4,4,3,3,1,1,1,4,1,1,4,5,4,3,1,1,3,3,1,1,1,7,3,4.16666666666667,3,5,3,6,3,5,4,1,"",NA,1
"31",3.3,3,1,23,1,2,3,1,1,1,2,1,1,1,2,1,3,2,1,1,2,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,5.33333333333333,7,6,7,6,1,5,4,0,"Hong Kong",4.5,0
"32",3.4,3,1,21,0,4,1,5,1,4,1,1,1,5,5,1,4,1,5,1,5,4,1,5,1,1,1,5,1,1,4,4,4,2,1,1,3,5,1,1,2,7,8,4.16666666666667,4,5,2,4,6,4,4,0,"Malaysia",3,1
"33",4.1,4,1,27,0,5,2,5,1,4,1,2,1,5,4,1,5,3,3,1,5,5,1,5,1,1,1,1,1,1,3,3,3,4,1,1,1,5,1,1,2,7,7,4.33333333333333,4,3,7,5,1,6,2,0,"Singapore",1.5,1
"34",4.2,4,1,18,0,4,1,2,1,3,1,1,1,4,3,1,3,1,1,2,4,5,1,4,1,1,1,3,1,1,4,3,3,4,1,1,3,4,1,1,2,8,8,2.66666666666667,3,1,3,4,4,1,2,0,"India",6,0
"35",10.1,10,1,21,0,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,3,5,3.83333333333333,5,3,4,3,4,4,5,1,"",NA,1
"36",10.2,10,1,19,1,5,4,1,1,3,1,1,2,1,2,2,5,1,1,1,5,3,4,5,1,1,1,2,1,1,3,3,1,2,2,1,1,1,1,1,1,6,7,4.5,2,4,6,5,4,6,5,1,"",NA,1
"37",10.3,10,1,21,1,1,2,1,1,3,1,1,1,1,1,1,4,1,1,1,2,2,2,2,1,1,1,2,1,1,5,5,4,3,2,1,1,1,1,1,1,8,8,4.16666666666667,3,4,4,5,4,5,5,0,"Indonesia",1.5,0
"38",10.4,10,1,20,0,5,1,4,1,3,1,1,1,4,5,1,5,1,4,1,4,5,3,4,1,1,1,4,1,1,5,5,5,5,1,1,2,4,3,1,1,4,4,4.66666666666667,5,4,4,5,6,4,5,0,"United Kingdom",0.125,1
"39",10.5,10,1,24,0,3,2,3,3,4,3,1,1,1,1,2,3,1,1,2,11,1,1,3,1,1,1,3,1,1,4,4,3,4,1,1,1,3,2,2,5,10,10,4,4,4,4,4,4,4,5,0,"Hong Kong",6,0
"40",12.1,12,1,23,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,2,2,1,2,1,1,1,1,1,1,4,1,1,3,1,1,1,1,1,1,2,8,7,3.5,4,3,5,2,3,4,2,0,"Singapore",1,1
"41",12.2,12,1,24,1,3,1,3,1,3,1,1,1,3,1,2,4,1,1,1,3,3,2,4,1,2,1,3,1,1,4,4,3,2,1,1,3,3,1,1,2,7,7,4.66666666666667,3,4,5,6,5,5,2,0,"Singapore",5,1
"42",13.1,13,1,25,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,2,3,1,1,3,4,3,3,1,1,2,3,1,1,2,7,3,6,7,7,7,7,7,1,2,0,"Singapore",3,1
"43",13.2,13,1,22,1,4,1,3,1,4,1,1,1,3,5,1,2,1,3,1,4,3,1,3,1,1,1,3,1,1,4,3,2,1,1,1,2,2,2,1,2,2,3,6.16666666666667,5,7,6,5,7,7,2,0,"Singapore",0.5,1
"44",16.1,16,1,29,0,3,1,1,1,3,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,4,2,2,1,1,1,2,1,1,2,7,8,3.5,4,3,4,5,4,1,3,0,"Singapore",6,1
"45",16.2,16,1,23,1,5,1,5,1,3,1,1,1,5,3,1,4,1,1,1,2,4,1,5,1,1,1,5,1,1,3,5,3,3,1,1,1,3,1,1,1,6,4,5,7,7,7,1,6,2,3,0,"Singapore",0.125,1
"46",16.3,16,1,22,0,1,4,1,2,3,2,1,2,1,3,2,2,1,1,1,3,2,3,2,1,4,2,1,4,3,4,2,1,4,3,4,1,1,2,1,3,8,8,2.83333333333333,4,4,3,4,1,1,3,1,"",NA,1
"47",18.1,18,1,23,0,4,2,3,1,1,3,1,1,4,1,1,2,5,3,1,2,2,1,3,1,4,3,3,2,1,4,4,4,5,2,1,2,4,3,3,2,7,7,6.5,7,6,6,6,7,7,2,0,"Singapore",0.25,1
"48",18.2,18,1,21,0,2,1,2,1,3,1,1,1,2,3,1,2,1,1,1,3,2,1,2,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,2,8,8,7,7,7,7,7,7,7,2,0,"Singapore",1.5,1
"49",19.1,19,1,18,0,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,2,1,1,1,2,1,1,3,1,1,2,1,1,1,2,1,1,2,5,5,3.33333333333333,3,4,2,3,4,4,2,0,"Taiwan",19,0
"50",19.2,19,1,19,0,4,1,3,1,3,1,1,1,4,3,1,2,1,4,1,3,2,2,4,1,1,1,2,1,1,4,3,2,2,1,1,2,3,1,1,1,7,NA,3,4,3,2,3,4,2,2,0,"India",2,0
"51",20.1,20,1,48,0,4,1,3,1,2,1,1,NA,5,2,1,2,1,4,1,4,4,NA,2,1,1,1,2,1,NA,4,4,2,1,1,1,1,1,1,1,1,4,4,2,2,3,1,3,2,1,4,0,"India",2,0
"52",20.2,20,1,21,0,4,1,2,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,3,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,3.66666666666667,7,6,3,2,2,2,4,0,"Singapore",2,1
"53",20.3,20,1,27,1,4,2,4,1,1,1,1,1,3,1,1,4,1,2,1,3,1,1,2,1,1,1,1,1,1,3,2,2,2,1,1,1,1,1,1,1,7,8,2.66666666666667,2,2,1,4,4,3,4,0,"Malaysia",9,1
"54",20.4,20,1,23,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,2,1,1,1,1,1,1,2,5,6,3.33333333333333,3,3,4,3,5,2,4,0,"Hong Kong",4,0
"55",21.1,21,1,24,0,5,1,4,1,2,1,1,1,4,2,1,5,1,4,1,4,4,2,2,1,1,1,2,1,1,5,3,3,4,1,1,1,3,1,1,2,NA,8,7,7,7,7,7,7,7,2,1,"",NA,0
"56",21.2,21,1,18,1,5,1,4,1,3,1,1,1,4,5,1,4,1,3,1,5,4,1,5,1,1,1,5,1,3,5,3,4,1,1,1,4,5,1,1,1,6,5,4.16666666666667,4,5,1,6,3,6,2,0,"Taiwan",12,0
"57",22.1,22,1,21,1,3,1,2,1,3,1,1,1,2,3,3,2,1,2,1,3,3,1,1,1,1,2,3,2,1,3,4,2,3,1,1,1,1,2,1,2,8,8,4.66666666666667,3,6,5,6,4,4,4,0,"Malaysia",0.58,0
"58",22.2,22,1,19,0,4,1,4,1,1,1,1,1,4,4,1,3,1,4,1,4,5,1,4,1,1,1,2,1,1,2,2,2,1,1,1,4,3,1,1,1,7,6,4.83333333333333,3,5,7,3,6,5,4,0,"Indonesia",1,0
"59",22.3,22,1,21,0,4,1,2,1,1,1,1,1,1,2,1,3,1,2,1,3,3,1,4,2,1,1,3,1,1,4,5,2,5,1,1,3,4,1,1,1,NA,8,4.16666666666667,4,4,4,5,4,4,4,0,"Malaysia",0.17,1
"60",22.4,22,1,21,0,3,1,1,1,3,1,1,1,1,1,2,3,1,1,2,1,2,2,1,1,1,1,1,1,1,3,1,1,4,1,1,1,1,1,1,2,7,5,3.83333333333333,3,5,4,2,6,3,4,1,"",NA,1
"61",23.1,23,1,18,0,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,3,1,2,2,1,1,1,2,1,1,3,2,1,3,1,1,1,2,1,1,1,4,6,5.33333333333333,3,4,5,7,6,7,2,0,"China",13,0
"62",23.2,23,1,23,0,4,2,3,1,3,1,1,1,4,3,2,3,2,3,2,3,4,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4.5,4,4,5,4,5,5,2,0,"Malaysia",3,0
