"","subid","groupnr","condition","subage","subgender","feel_interested","feel_distressed","feel_excited","feel_upset","feel_strong","feel_guilty","feel_scared","feel_hostile","feel_enthusiastic","feel_proud","feel_irritable","feel_alert","feel_ashamed","feel_inspired","feel_nervous","feel_determined","feel_attentive","feel_jittery","feel_active","feel_afraid","task_threatening","task_fearful","task_enjoyable","task_worrying","task_hostile","task_challenging","task_stimulating","task_exhilarating","task_painful","task_depressing","task_pitiful","task_informative","task_exciting","task_frightening","task_terrifying","task_intolerable","task_intense","task_unpleasant","cooperation","lottery1","lottery2","lottery3","lottery4","lottery5","lottery6"
"1","AAA",1,0,19,0,3,1,1,1,3,1,1,1,4,4,1,2,1,4,1,3,1,1,4,1,3,3,2,4,1,5,4,3,1,2,1,5,3,2,2,1,1,1,3,3,4,4,3,2,2
"2","AAB",1,0,19,0,4,1,3,1,2,1,1,1,4,2,1,1,1,4,3,1,4,2,4,1,1,1,3,2,1,3,2,2,1,1,1,1,2,1,1,1,3,2,4,5,7,3,4,3,2
"3","AAC",1,0,20,0,4,1,3,2,2,1,1,1,2,2,1,1,2,1,3,4,3,2,4,1,1,1,4,2,1,4,3,3,1,1,1,2,3,1,1,1,1,2,3.16666666666667,1,2,3,4,7,2
"4","ABA",2,0,21,0,5,1,3,1,3,1,1,1,4,1,1,3,1,3,1,3,4,1,5,1,1,1,3,1,1,3,4,2,1,1,1,1,2,1,1,1,1,1,4.5,4,2,5,3,6,7
"5","ABB",2,0,38,0,4,2,3,2,3,2,1,1,3,3,2,1,2,3,2,4,4,1,3,1,1,1,3,2,1,3,2,3,1,2,1,2,3,1,1,1,2,2,5.83333333333333,7,7,5,6,7,3
"6","ABC",2,0,22,0,4,2,3,1,3,1,1,1,3,4,1,1,1,3,2,4,4,1,4,1,1,1,3,1,1,3,3,2,1,1,1,2,2,1,1,1,1,1,3.83333333333333,7,6,7,1,1,1
"7","ACA",3,0,24,0,4,1,3,2,2,1,1,1,3,2,1,3,1,2,2,3,4,3,4,1,1,1,2,2,1,4,4,3,1,1,1,3,3,1,1,1,2,2,4.83333333333333,7,7,7,1,4,3
"8","ACB",3,0,21,0,5,3,2,4,3,5,4,1,4,2,4,4,5,2,4,2,5,5,4,1,1,1,4,1,1,5,5,4,1,1,1,5,5,3,1,1,1,5,3.16666666666667,2,1,3,4,2,7
"9","ACC",3,0,21,0,5,1,1,1,2,1,2,1,2,3,1,2,1,2,1,1,3,1,3,1,2,1,2,1,1,1,2,1,1,1,1,3,4,2,2,1,2,2,4.16666666666667,4,5,7,1,2,6
"10","AČA",4,0,23,0,4,1,5,2,5,1,1,1,5,4,1,1,1,2,1,4,4,1,5,1,1,1,3,1,1,3,3,3,1,1,1,1,4,1,1,1,1,1,6,7,7,7,7,7,1
"11","AČB",4,0,23,0,5,1,4,1,4,1,1,1,3,3,1,3,1,3,1,4,3,2,3,1,1,1,3,1,1,4,2,2,1,1,1,3,2,1,1,1,1,1,6.33333333333333,5,6,7,6,7,7
"12","AČC",4,0,23,0,5,2,4,1,3,1,1,1,4,2,1,2,2,4,2,3,4,2,4,1,1,1,3,1,1,5,3,2,1,1,1,3,4,1,1,1,1,1,7,7,7,7,7,7,7
"13","ADA",5,0,22,1,3,1,2,2,1,1,1,3,3,3,2,2,1,4,2,5,5,3,5,2,1,1,3,1,1,3,3,3,1,1,1,1,3,1,1,1,1,1,7,7,7,7,7,7,7
"14","ADB",5,0,22,0,2,1,2,1,1,2,2,1,1,2,3,2,1,1,4,2,1,3,1,2,3,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,3,3,7,7,7,7,7,7,7
"15","ADC",5,0,20,1,4,1,2,1,2,1,1,1,4,3,1,2,1,4,3,3,4,2,4,1,1,1,2,1,1,4,3,1,1,1,1,2,1,1,1,1,1,1,7,7,7,7,7,7,7
"16","AĎA",6,0,22,0,4,1,2,1,3,1,3,1,3,1,1,4,2,3,3,3,4,2,4,3,1,3,3,1,1,4,4,3,1,1,1,3,4,1,2,1,3,4,6.33333333333333,6,6,7,6,6,7
"17","AĎB",6,0,24,0,3,1,1,1,1,1,1,1,2,2,1,3,1,3,1,1,3,1,4,1,1,1,3,2,1,1,1,1,1,4,2,1,1,2,2,1,1,1,6.83333333333333,7,7,6,7,7,7
"18","AĎC",6,0,23,1,4,1,3,2,3,1,1,1,3,3,1,1,1,2,1,3,3,1,4,1,1,1,3,1,1,3,2,2,1,1,1,1,3,1,1,1,1,1,6.16666666666667,7,6,6,6,6,6
"19","AEA",7,0,21,0,3,4,2,2,2,2,1,1,1,1,2,3,4,2,4,1,2,4,1,1,1,1,3,1,1,3,2,3,1,1,2,2,2,1,1,1,1,1,6.33333333333333,6,5,6,7,7,7
"20","AEB",7,0,22,0,2,1,3,3,1,1,2,1,2,1,2,4,1,1,5,2,4,3,3,4,4,4,2,5,2,5,2,3,3,3,1,3,5,5,3,3,2,4,6.33333333333333,4,7,6,7,7,7
"21","AEC",7,0,27,1,4,1,3,1,3,1,1,1,4,4,1,2,1,3,1,5,5,1,4,1,1,2,2,1,1,5,3,2,1,2,1,1,4,1,1,1,1,1,7,7,7,7,7,7,7
"22","AFA",8,0,23,1,4,2,3,2,3,1,1,1,4,3,1,2,1,3,2,4,4,2,3,2,2,2,3,2,1,4,3,3,1,1,1,2,4,1,1,1,1,1,3,7,7,1,1,1,1
"23","AFB",8,0,21,0,3,1,3,1,3,1,1,1,2,3,1,3,1,1,2,4,4,2,4,1,1,1,3,1,1,4,2,2,1,1,1,1,3,1,1,1,1,1,2.33333333333333,7,1,3,1,1,1
"24","AFC",8,0,22,0,3,1,2,1,2,1,1,1,3,2,1,3,1,2,2,1,2,2,4,1,3,2,2,2,1,4,3,2,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1
"25","AGA",9,0,23,0,5,1,4,2,1,1,1,1,3,1,1,1,4,3,3,2,4,3,1,1,1,1,3,3,1,3,3,1,1,2,1,3,2,1,1,1,3,6,3,3,4,2,4,3,2
"26","AGB",9,0,22,0,4,2,3,1,3,1,2,1,2,2,1,3,1,1,2,3,4,3,2,2,1,1,3,2,1,4,2,1,1,1,1,1,2,1,1,1,1,1,3.66666666666667,4,3,2,1,5,7
"27","AGC",9,0,22,0,4,2,4,2,3,1,2,1,3,2,1,4,3,3,2,2,4,4,4,1,1,1,3,1,1,3,4,2,1,1,1,2,4,1,1,1,1,1,3.83333333333333,7,2,4,6,1,3
"28","AHA",10,0,21,0,3,2,3,2,1,1,2,2,3,3,3,4,1,3,3,3,4,3,4,2,3,3,4,3,2,2,2,3,1,2,2,2,3,3,3,1,1,1,3.5,2,1,3,4,6,5
"29","AHB",10,0,23,0,4,1,2,1,2,1,1,1,2,2,1,1,1,4,1,4,5,1,5,1,1,1,3,1,1,5,4,4,1,1,1,1,2,1,1,1,1,1,3.16666666666667,1,2,3,3,5,5
"30","AHC",10,0,22,1,2,3,4,4,3,3,4,3,4,3,3,3,4,4,3,4,2,2,1,4,2,2,3,1,1,4,3,3,2,1,1,2,3,1,2,1,1,2,3.83333333333333,3,3,2,4,4,7
"31","AIA",11,0,24,0,5,1,5,1,4,1,1,1,5,3,1,2,1,4,3,4,5,3,5,1,1,1,4,1,1,3,3,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1
"32","AIB",11,0,21,0,4,1,1,1,1,1,1,1,3,1,1,4,1,1,3,1,2,3,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2.66666666666667,7,5,1,1,1,1
"33","AIC",11,0,26,0,2,1,3,1,1,3,1,2,3,4,1,4,1,4,1,3,2,1,2,1,1,1,1,1,1,2,2,2,1,1,1,3,2,1,1,1,1,1,3.16666666666667,6,7,1,3,1,1
"34","AJA",12,0,25,0,4,2,1,2,1,2,1,1,2,3,1,4,2,4,3,5,4,3,3,2,1,1,3,2,1,4,4,3,1,1,1,2,3,1,1,1,1,1,7,7,7,7,7,7,7
"35","AJB",12,0,21,0,5,2,4,1,5,1,1,1,5,4,1,5,1,5,1,5,5,2,5,1,1,1,4,1,1,5,5,3,1,1,1,3,4,1,1,1,1,1,7,7,7,7,7,7,7
"36","AJC",12,0,23,0,4,1,2,2,3,1,1,1,3,3,2,4,1,2,3,3,4,2,5,1,1,2,4,2,1,3,4,3,1,1,1,4,3,2,1,1,1,2,7,7,7,7,7,7,7
"37","AKA",13,0,22,0,3,2,3,1,1,1,2,1,3,4,2,4,1,2,2,3,4,1,3,1,1,1,3,2,1,3,2,1,1,1,1,2,2,1,1,1,1,2,3.5,6,7,1,2,3,2
"38","AKB",13,0,19,0,3,1,2,1,2,1,1,1,2,3,1,3,1,2,1,1,4,2,5,2,1,1,3,2,1,4,1,1,1,1,1,3,3,2,1,2,1,1,2,2,3,1,2,3,1
"39","AKC",13,0,20,1,4,2,5,2,4,2,1,1,4,4,3,3,1,2,3,3,2,4,2,3,1,2,3,1,1,4,4,3,1,1,1,4,4,2,1,1,1,1,2.83333333333333,7,1,4,2,2,1
"40","ALA",14,0,22,0,4,2,2,1,2,1,1,1,3,2,1,1,1,2,2,2,3,2,3,1,1,1,3,1,1,3,3,2,1,1,1,3,2,1,1,1,1,1,3.33333333333333,1,2,7,3,3,4
"41","ALB",14,0,20,0,4,3,2,2,1,3,3,2,3,1,2,4,3,5,3,5,4,4,5,2,1,1,3,1,1,4,1,1,1,1,1,5,5,1,1,1,1,1,3.5,3,2,3,4,5,4
"42","ALC",14,0,26,1,3,2,3,3,3,2,1,1,2,2,3,4,2,2,3,3,4,3,3,1,1,1,2,3,2,2,3,1,2,3,1,3,3,1,1,1,2,2,3.16666666666667,3,2,3,4,4,3
"43","AĽA",15,0,24,1,5,3,3,1,3,1,1,1,4,2,1,4,1,3,2,4,5,1,3,1,1,1,3,1,1,5,4,3,1,1,1,3,4,1,1,1,3,2,5.33333333333333,6,6,5,6,5,4
"44","AĽB",15,0,24,1,3,1,2,1,3,1,1,1,3,3,1,2,1,2,1,3,4,1,3,1,1,1,3,1,1,2,4,3,1,1,1,4,3,1,1,1,1,2,7,7,7,7,7,7,7
"45","AĽC",15,0,33,0,4,1,3,1,3,2,1,1,4,3,1,1,1,4,1,4,3,1,4,1,1,1,3,1,1,2,4,4,1,1,1,3,3,1,1,1,1,1,3.5,1,3,7,1,5,4
"46","AMA",16,0,23,0,4,1,2,1,3,1,1,1,3,3,2,3,1,3,2,3,4,2,3,1,1,1,3,1,1,3,3,3,1,1,1,1,2,1,1,1,1,1,5.83333333333333,7,6,5,6,7,4
"47","AMB",16,0,23,0,2,1,2,1,1,1,1,1,2,2,1,1,2,2,2,1,3,1,3,1,1,1,2,1,1,3,1,1,2,1,1,3,2,1,2,1,1,1,7,7,7,7,7,7,7
"48","AMC",16,0,21,0,4,1,4,1,4,1,1,1,4,5,1,2,1,5,1,5,5,1,4,1,1,1,5,1,1,5,4,4,1,1,1,5,4,1,1,1,1,1,3.16666666666667,4,1,3,2,4,5
"49","ANA",17,0,22,1,4,1,3,2,2,1,1,1,4,3,1,3,1,3,4,4,4,3,4,2,2,1,4,3,1,4,4,3,1,1,1,2,3,2,1,1,2,3,2.66666666666667,7,4,1,2,1,1
"50","ANB",17,0,21,0,4,1,4,1,4,1,1,1,5,5,1,2,1,4,1,4,5,1,5,1,1,2,5,1,1,5,3,3,1,1,1,3,5,1,1,1,1,1,1.5,1,3,1,2,1,1
"51","ANC",17,0,22,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.16666666666667,2,1,1,1,1,1
"52","AOA",18,0,27,1,5,2,4,2,4,1,1,1,4,4,1,1,1,4,2,4,5,2,4,1,1,1,4,1,1,4,5,3,1,1,1,4,4,1,1,1,1,1,6.66666666666667,7,6,7,6,7,7
"53","AOB",18,0,20,0,3,3,3,4,2,4,3,2,4,3,2,2,4,4,4,4,3,4,3,2,2,2,3,2,1,3,4,4,1,1,1,3,4,1,1,1,4,4,3.83333333333333,2,4,3,1,7,6
"54","AOC",18,0,27,0,3,1,2,1,3,1,1,1,3,2,1,4,1,3,2,3,5,1,4,1,1,1,4,2,1,4,3,4,1,1,1,2,4,1,1,1,1,1,3.16666666666667,1,2,3,4,4,5
"55","ARA",20,0,29,1,3,1,2,1,3,1,1,1,2,3,1,1,1,3,1,3,4,1,4,1,1,1,4,1,1,2,2,3,1,1,2,2,4,1,1,1,1,1,1.66666666666667,3,1,3,1,1,1
"56","ARB",20,0,22,1,3,4,4,3,2,4,3,5,4,3,2,2,3,2,3,4,3,3,2,2,2,1,3,2,1,4,3,3,2,1,1,4,5,2,1,1,3,2,2.16666666666667,4,3,2,1,2,1
"57","ARC",20,0,20,0,5,1,4,1,1,1,2,1,5,2,1,3,1,5,4,4,4,4,5,2,1,1,3,3,1,4,4,3,1,1,1,3,4,1,1,1,1,1,1.16666666666667,1,2,1,1,1,1
"58","ASA",21,0,22,1,3,2,3,3,1,2,2,1,3,3,1,3,2,2,4,4,4,3,5,3,3,3,2,3,1,4,3,2,4,2,2,4,3,1,1,3,4,3,3.5,7,3,3,4,3,1
"59","ASB",21,0,27,0,4,2,3,1,3,2,1,1,3,1,2,3,2,3,3,4,4,3,3,2,2,2,3,2,1,3,3,2,1,1,1,4,3,2,2,1,1,1,5,7,7,7,1,7,1
"60","ASC",21,0,20,1,4,1,2,1,1,1,1,1,2,1,1,3,1,2,2,2,3,1,2,1,1,1,2,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,3,3,2,4,5,1,3
"61","ATA",22,0,18,1,5,2,4,1,3,1,3,1,5,3,1,2,1,3,2,3,4,2,5,1,1,2,4,2,1,4,4,3,1,2,1,4,2,2,1,1,2,2,3,4,1,4,2,1,6
"62","ATB",22,0,21,0,4,2,3,1,3,1,1,1,3,3,2,3,1,3,1,3,4,1,4,1,1,2,4,1,1,4,3,4,2,2,1,4,3,1,1,1,2,1,4,3,5,4,3,4,5
"63","ATC",22,0,22,1,4,1,4,1,3,1,1,1,3,2,1,4,1,2,3,4,5,2,4,1,1,1,4,2,1,5,3,2,2,3,1,4,4,1,1,1,2,3,5,4,7,6,5,1,7
"64","AUA",23,0,26,0,4,1,3,2,1,1,1,1,3,2,1,4,3,1,3,4,4,3,4,2,1,1,1,3,1,4,2,1,2,1,1,2,3,1,2,1,2,3,1,1,1,1,1,1,1
"65","AUB",23,0,22,1,4,1,3,2,NA,1,1,1,3,1,1,2,1,3,3,3,4,3,3,1,1,1,3,2,1,3,3,2,1,1,1,1,4,1,1,1,1,1,2.66666666666667,7,4,2,1,1,1
"66","AUC",23,0,25,0,4,1,1,1,3,1,2,1,2,2,1,3,1,1,3,3,4,1,3,2,2,3,2,2,1,4,4,1,1,1,1,2,1,1,1,1,1,1,4.5,4,6,3,2,6,6
"67","AWA",24,0,23,1,4,1,3,1,4,1,1,1,3,3,1,4,1,3,1,4,4,1,4,1,1,2,1,2,1,2,2,3,1,2,1,1,2,1,1,1,1,1,7,7,7,7,7,7,7
"68","AWB",24,0,23,1,3,2,4,1,2,2,1,2,3,1,2,3,2,3,2,2,3,2,3,2,2,2,3,1,1,3,3,2,1,1,2,2,3,2,2,1,2,2,6,5,6,6,6,7,6
"69","AWC",24,0,21,1,5,1,1,1,4,1,1,1,5,3,1,1,1,3,1,4,5,1,5,1,1,1,3,1,1,4,3,3,1,1,1,3,1,2,1,1,2,1,5.33333333333333,3,4,6,7,6,6
"70","AXA",25,0,24,0,5,1,4,1,4,1,1,1,5,1,1,4,1,4,1,4,4,1,5,1,1,1,3,1,1,4,4,3,1,1,1,4,4,1,1,1,1,1,3.16666666666667,3,6,3,2,4,1
"71","AXB",25,0,24,0,4,1,4,3,4,1,1,1,5,4,1,4,1,3,3,3,4,1,4,1,1,1,3,1,1,3,3,1,1,1,1,2,3,1,1,1,1,1,1.5,1,2,1,2,1,2
"72","AXC",25,0,23,1,4,2,2,2,1,3,2,1,4,2,1,1,4,2,2,3,4,2,4,2,1,1,3,1,1,3,3,2,1,3,2,2,2,1,1,1,1,1,7,7,7,7,7,7,7
"73","AYA",26,0,24,0,3,1,4,1,2,1,1,1,4,2,1,2,1,4,1,3,2,1,5,1,1,1,4,1,1,4,5,3,1,1,1,2,4,1,1,1,1,1,2.83333333333333,3,4,5,2,1,2
"74","AYB",26,0,25,0,4,1,4,2,3,1,1,1,4,4,1,3,1,4,2,4,5,2,5,1,1,1,3,1,1,4,4,3,1,1,1,4,4,1,1,1,3,2,4.33333333333333,3,4,7,5,4,3
"75","AYC",26,0,21,0,4,1,4,2,2,1,1,1,4,2,1,4,1,5,2,5,5,2,4,1,3,2,3,1,1,4,4,1,1,1,1,2,2,1,1,1,1,2,4.16666666666667,6,5,5,4,3,2
"76","AZA",27,0,24,0,4,1,3,1,3,1,1,1,3,2,1,1,1,2,1,4,4,1,3,1,1,1,3,1,1,4,2,1,1,1,1,3,2,1,1,1,3,2,2.5,1,1,2,3,7,1
