"","subid","groupnr","condition","subage","subgender","feel_interested","feel_distressed","feel_excited","feel_upset","feel_strong","feel_guilty","feel_scared","feel_hostile","feel_enthusiastic","feel_proud","feel_irritable","feel_alert","feel_ashamed","feel_inspired","feel_nervous","feel_determined","feel_attentive","feel_jittery","feel_active","feel_afraid","task_threatening","task_fearful","task_enjoyable","task_worrying","task_hostile","task_challenging","task_stimulating","task_exhilarating","task_painful","task_depressing","task_pitiful","task_informative","task_exciting","task_frightening","task_terrifying","task_intolerable","task_intense","task_unpleasant","cooperation","lottery1","lottery2","lottery3","lottery4","lottery5","lottery6"
"77","AZB",27,0,23,1,4,1,3,2,3,1,1,1,3,3,2,2,1,3,2,2,3,1,2,1,1,1,3,3,1,3,3,3,1,1,1,3,3,1,1,1,2,2,3.83333333333333,1,7,3,5,4,3
"78","AZC",27,0,21,1,4,1,3,2,2,1,2,1,4,3,1,3,1,3,3,3,5,2,5,2,2,2,3,2,1,4,3,2,1,1,2,2,3,2,1,1,2,2,2.16666666666667,2,1,2,3,2,3
"79","BAA",28,1,21,0,4,2,2,1,2,1,1,1,3,3,2,2,1,2,2,4,4,2,4,1,3,1,2,2,1,4,4,4,2,1,1,2,3,2,1,1,2,6,3.5,7,7,4,1,1,1
"80","BAB",28,1,20,0,2,1,3,4,2,1,1,1,3,3,3,2,1,2,2,3,2,1,2,1,2,2,1,3,3,4,3,2,3,4,2,2,2,2,2,4,8,8,1,1,1,1,1,1,1
"81","BAC",28,1,23,0,4,1,2,1,2,1,1,1,1,1,1,4,1,1,2,3,4,2,3,1,1,1,3,2,1,4,3,3,2,2,1,4,3,1,1,2,3,7,1.5,1,2,1,1,3,1
"82","BCA",29,1,21,0,4,3,3,2,2,1,1,1,3,2,2,4,2,3,2,4,4,3,4,2,1,2,3,2,1,4,4,3,3,2,1,3,4,2,1,2,6,8,3.33333333333333,7,7,1,3,1,1
"83","BCB",29,1,20,0,3,2,3,3,3,1,4,1,3,2,4,2,1,4,1,3,3,1,2,1,1,1,3,2,1,3,2,2,3,2,1,3,2,1,1,2,7,8,1.33333333333333,1,1,2,1,2,1
"84","BCC",29,1,20,1,4,1,2,1,3,1,1,1,1,1,1,2,1,1,2,2,4,1,3,1,1,1,1,2,2,3,2,1,2,1,1,1,2,1,1,2,4,3,4,7,7,1,1,7,1
"85","BDA",30,1,22,0,4,1,4,1,2,1,1,1,4,3,1,2,2,5,2,3,5,3,5,1,1,1,1,1,1,5,3,2,2,1,1,3,3,1,1,2,5,6,2.33333333333333,3,2,3,2,1,3
"86","BDB",30,1,23,0,4,1,2,2,3,1,1,1,2,2,1,3,1,2,1,3,4,1,5,1,3,3,1,2,1,4,3,1,4,1,1,1,3,1,2,2,7,7,2.16666666666667,4,3,3,1,1,1
"87","BDC",30,1,24,0,2,1,1,1,1,1,2,1,3,3,1,2,1,2,2,2,2,1,2,1,1,1,1,1,1,4,3,2,3,1,1,3,3,1,1,3,7,6,3,3,4,2,4,3,2
"88","BĎA",31,1,22,0,4,1,4,1,3,1,1,1,5,4,1,2,2,4,3,4,4,2,3,1,3,3,2,2,2,4,4,3,4,2,2,3,4,2,2,3,8,8,4.83333333333333,3,4,5,4,6,7
"89","BĎB",31,1,23,0,5,1,4,3,3,1,1,1,4,3,1,5,2,3,3,5,5,1,4,1,2,1,4,2,1,5,5,5,3,1,1,4,5,1,1,1,6,6,7,7,7,7,7,7,7
"90","BĎC",31,1,25,0,4,2,4,2,3,1,1,1,3,2,1,1,1,3,3,4,4,3,4,2,2,2,2,2,1,3,3,1,4,3,1,1,3,2,1,1,6,5,7,7,7,7,7,7,7
"91","BEA",32,1,22,0,3,1,1,2,1,1,3,2,2,1,2,4,3,1,4,1,3,4,1,2,1,3,1,3,2,5,1,1,5,1,1,1,1,1,1,5,10,9,4.16666666666667,4,4,5,4,4,4
"92","BEB",32,1,22,0,4,2,2,2,3,1,1,1,1,3,2,3,2,3,2,4,3,3,3,2,2,1,1,2,2,3,3,3,3,3,2,1,2,2,1,3,7,6,4,3,7,7,3,1,3
"93","BEC",32,1,24,0,5,2,4,2,3,2,1,1,4,3,1,4,2,5,2,5,5,2,5,1,1,1,3,2,1,5,4,4,4,1,1,3,4,1,1,2,2,4,4.33333333333333,4,6,2,7,4,3
"94","BFA",33,1,22,0,4,1,3,2,3,1,1,2,4,4,2,3,1,4,2,5,5,2,4,2,2,1,1,1,1,5,4,2,5,1,1,4,5,3,2,4,8,8,1.66666666666667,2,1,3,1,2,1
"95","BFB",33,1,21,1,4,1,3,1,2,1,1,1,4,2,1,3,1,1,1,2,3,1,3,1,1,2,3,1,1,4,1,1,1,1,1,2,3,1,1,3,5,4,1,1,1,1,1,1,1
"96","BFC",33,1,25,1,4,1,3,1,3,1,1,1,3,3,1,2,1,1,1,4,4,2,4,1,1,1,2,1,1,4,3,2,3,1,1,2,3,1,1,2,4,4,2.16666666666667,7,1,2,1,1,1
"97","BGA",34,1,27,0,3,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,4,1,4,1,1,1,3,1,1,3,3,1,2,1,1,2,1,1,1,1,6,5,7,7,7,7,7,7,7
"98","BGB",34,1,21,1,3,1,3,2,3,1,1,1,3,1,1,3,1,1,4,3,3,4,3,2,1,1,2,1,1,5,1,1,3,1,1,3,3,1,1,3,5,4,3.33333333333333,3,4,4,4,3,2
"99","BGC",34,1,22,0,3,1,2,2,3,1,1,1,3,3,1,2,1,3,2,4,4,1,3,1,2,1,3,1,1,5,4,2,3,1,1,4,3,1,1,1,8,9,4.16666666666667,4,2,3,7,2,7
"100","BHA",35,1,21,0,4,2,4,1,4,2,1,1,4,5,1,3,2,3,3,4,4,3,3,1,3,2,2,3,1,4,3,3,4,2,3,3,3,2,1,2,8,7,5.66666666666667,7,7,5,5,5,5
"101","BHB",35,1,24,0,5,2,3,1,3,2,1,1,3,3,1,2,2,3,3,4,3,3,3,2,1,2,3,2,1,5,5,1,3,1,1,3,3,1,2,2,5,5,6,6,5,7,6,7,5
"102","BHC",35,1,23,0,3,1,1,2,3,1,2,1,3,2,3,4,2,2,4,3,4,3,3,2,2,2,1,2,2,4,3,2,4,2,1,1,2,1,2,3,8,9,6.66666666666667,7,7,7,7,7,5
"103","BIA",36,1,22,0,2,1,1,3,2,1,1,1,1,1,3,2,2,1,2,1,1,1,1,1,1,1,1,3,2,3,1,1,4,2,2,1,1,1,1,3,9,9,3.5,5,1,3,7,1,4
"104","BIB",36,1,31,1,1,1,3,4,3,1,2,1,4,4,2,3,2,5,3,4,4,1,5,1,2,1,1,3,2,5,4,3,4,4,2,3,3,1,2,5,8,7,5.5,7,6,5,5,6,4
"105","BIC",36,1,23,0,3,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,3,2,2,1,1,1,4,1,1,3,2,1,1,1,1,2,2,1,1,1,5,6,3.16666666666667,2,4,3,1,6,3
"106","BJA",37,1,24,0,3,2,2,2,3,1,1,1,3,1,1,2,1,1,2,1,3,1,2,1,3,3,1,2,1,3,1,1,3,2,1,1,1,1,1,2,8,4,3.66666666666667,7,7,2,2,2,2
"107","BJB",37,1,25,0,4,1,4,1,3,1,1,1,4,3,1,3,1,4,1,4,4,1,4,1,1,1,2,1,1,3,4,3,2,1,1,4,4,1,1,1,3,4,3.66666666666667,7,7,2,2,2,2
"108","BJC",37,1,23,0,4,1,1,1,1,1,1,1,3,1,1,2,1,2,1,2,5,1,3,1,1,1,2,1,1,5,4,2,2,2,1,2,3,1,1,1,4,3,2.16666666666667,2,2,2,2,3,2
"109","BKA",38,1,22,0,4,1,2,2,3,1,1,1,3,2,3,1,1,1,3,1,1,3,3,1,1,1,3,1,1,4,3,3,3,1,1,1,2,1,1,2,5,6,4.16666666666667,4,5,4,5,3,4
"110","BKB",38,1,23,1,3,2,2,3,2,1,1,1,3,3,2,2,1,2,4,2,3,4,3,1,2,1,1,2,3,3,2,2,1,4,1,3,2,1,1,3,7,5,6,7,7,7,7,7,1
"111","BKC",38,1,20,0,5,1,5,4,2,1,2,1,3,1,1,1,1,1,4,3,3,4,4,2,3,4,1,2,3,5,2,1,4,1,1,1,4,2,2,3,8,7,3.16666666666667,3,2,4,3,4,3
"112","BLA",39,1,26,1,3,2,3,1,3,1,1,1,3,4,1,4,1,2,1,5,4,1,3,1,1,1,3,1,1,5,4,3,3,1,1,4,4,1,1,2,4,4,4.5,4,5,6,3,7,2
"113","BLB",39,1,25,1,5,1,5,2,5,1,1,1,5,5,1,2,1,4,2,5,5,3,4,1,2,1,3,2,1,5,4,4,3,1,1,3,4,1,1,1,7,5,2,2,1,3,2,2,2
"114","BLC",39,1,22,0,3,2,2,3,1,1,1,2,3,1,1,5,4,4,5,1,5,5,1,1,1,1,1,1,1,5,1,1,5,1,2,1,1,1,1,5,8,8,2.66666666666667,5,3,2,2,2,2
"115","BĽA",40,1,22,1,3,1,2,1,2,1,1,1,2,1,1,2,1,1,2,3,4,1,2,1,1,1,2,3,1,3,3,3,4,2,1,4,3,1,1,4,8,8,6.5,5,6,7,7,7,7
"116","BĽB",40,1,31,0,4,1,3,3,2,2,2,1,3,1,1,3,1,2,3,1,4,2,3,3,1,1,1,1,1,3,3,1,4,1,1,1,2,1,1,3,6,5,4,3,5,2,6,7,1
"117","BĽC",40,1,20,0,4,1,2,2,2,1,1,1,2,1,1,2,1,2,2,2,3,2,3,2,2,2,1,3,1,4,3,1,4,2,2,1,2,3,3,2,4,5,3.33333333333333,3,4,4,3,3,3
"118","BMA",41,1,19,0,3,1,3,1,3,2,1,1,4,3,1,4,1,3,1,4,3,1,4,1,2,2,3,1,1,5,4,3,2,1,1,3,3,1,1,1,4,4,5.16666666666667,4,5,6,6,5,5
"119","BMB",41,1,22,0,3,2,2,2,1,1,2,1,2,2,1,3,1,3,3,3,4,3,4,2,2,2,1,1,1,3,4,2,3,2,1,3,4,3,2,2,7,6,7,7,7,7,7,7,7
"120","BMC",41,1,19,1,3,1,1,1,5,1,1,1,2,5,1,2,1,3,1,1,2,1,5,5,1,1,2,3,1,1,1,1,2,1,3,1,1,2,1,3,3,3,6.16666666666667,4,7,7,5,7,7
"121","BNA",42,1,22,1,4,1,3,1,3,2,1,1,4,2,1,3,2,3,1,3,4,1,3,1,2,1,3,1,1,4,3,2,3,1,1,2,3,1,1,1,7,5,4,1,2,7,3,4,7
"122","BNB",42,1,23,0,5,1,2,1,1,1,2,1,3,1,1,2,1,2,2,3,3,2,3,2,1,2,1,2,1,3,2,3,5,1,1,2,2,2,2,2,7,7,4,4,4,4,4,4,4
"123","BNC",42,1,21,1,5,1,2,2,2,1,1,1,4,4,1,1,1,2,2,5,4,3,3,1,1,1,3,1,1,5,3,2,2,1,1,2,3,1,1,1,4,2,7,7,7,7,7,7,7
"124","BOA",43,1,24,1,5,2,5,2,5,1,1,1,5,5,1,2,2,5,1,5,5,1,5,1,1,1,5,1,1,5,5,5,1,1,1,1,5,1,1,2,1,4,4.16666666666667,4,1,7,5,6,2
"125","BOB",43,1,23,1,5,2,3,3,4,1,2,1,4,3,1,1,1,4,1,4,5,1,5,1,3,2,1,3,3,4,2,3,3,3,3,3,3,3,3,3,4,7,2.83333333333333,6,3,1,2,2,3
"126","BOC",43,1,22,0,4,1,3,1,2,1,1,1,3,3,1,2,3,2,1,4,4,1,4,1,1,1,2,1,1,4,3,1,3,1,1,1,2,1,1,1,1,1,2.16666666666667,1,1,1,2,7,1
"127","BPA",44,1,23,0,4,1,3,2,2,1,1,1,2,2,1,2,1,2,1,2,3,2,3,1,3,2,3,2,2,4,4,4,2,2,1,4,3,2,2,2,4,6,4.5,4,4,5,6,4,4
"128","BPB",44,1,21,0,3,1,3,2,3,1,1,1,4,3,2,4,1,2,2,4,4,2,4,1,1,1,2,1,1,5,2,3,3,1,2,1,4,1,1,2,3,2,4.66666666666667,5,6,7,3,4,3
"129","BPC",44,1,22,1,3,4,4,5,2,3,1,1,1,2,3,4,2,1,5,4,3,5,4,1,1,3,1,5,1,5,4,2,5,3,1,1,4,3,3,5,6,7,3.33333333333333,3,4,2,3,4,4
"130","BQA",45,1,22,1,4,2,4,1,2,2,1,1,4,3,3,1,3,2,1,4,4,1,4,1,1,1,3,1,1,4,3,4,4,1,1,2,4,1,1,2,7,7,5,1,7,7,4,5,6
"131","BQB",45,1,22,0,4,1,4,2,3,1,1,1,4,1,1,3,1,3,2,4,5,1,5,1,1,1,1,2,1,5,3,2,3,1,1,3,4,1,1,1,6,5,3.83333333333333,3,2,3,4,6,5
"132","BQC",45,1,21,0,3,1,3,4,2,2,4,2,2,1,1,3,1,1,1,1,3,3,4,3,4,2,2,4,2,1,2,1,4,2,1,1,2,2,3,2,8,8,4.5,6,3,4,5,4,5
"133","BRA",46,1,23,1,4,1,3,1,4,1,1,1,4,3,1,5,1,3,3,5,3,2,5,1,1,1,3,1,1,5,4,3,3,1,1,3,3,1,1,2,7,6,3.5,4,3,4,4,2,4
"134","BRB",46,1,21,1,5,1,4,3,3,1,1,1,4,4,1,3,2,3,2,4,3,2,4,1,2,2,2,1,1,5,3,3,5,3,1,2,3,1,1,4,9,8,5.16666666666667,7,7,5,5,4,3
"135","BRC",46,1,23,1,5,3,3,1,4,1,1,1,4,4,2,4,1,3,1,4,5,1,3,1,1,1,3,1,1,4,4,3,4,3,1,3,3,1,1,4,8,9,7,7,7,7,7,7,7
"136","BSA",47,1,23,0,4,2,4,1,3,1,1,2,4,4,1,3,1,4,1,3,3,1,3,1,1,1,3,1,1,3,3,4,3,1,3,4,3,1,2,3,6,5,4.16666666666667,4,5,6,5,2,3
"137","BSB",47,1,20,0,4,1,3,1,3,1,2,1,3,3,2,3,1,3,3,4,4,2,3,2,3,3,3,3,2,4,3,3,3,2,1,3,4,3,3,3,7,6,3,3,4,7,2,1,1
"138","BSC",47,1,22,0,5,1,4,2,4,1,1,1,4,3,1,2,3,3,2,4,5,2,3,2,3,3,1,2,1,5,3,3,5,1,1,5,4,2,2,3,8,7,2.83333333333333,3,4,2,3,4,1
"139","BTA",48,1,21,1,3,1,2,1,3,1,1,1,2,3,1,3,1,3,1,3,3,1,3,1,3,3,1,1,1,3,3,3,4,1,2,2,3,3,3,3,4,6,7,7,7,7,7,7,7
"140","BTB",48,1,22,0,3,3,4,2,3,1,2,1,4,2,1,1,1,3,1,2,4,2,1,1,1,2,1,2,3,1,2,1,4,3,2,1,2,1,1,2,8,9,7,7,7,7,7,7,7
"141","BTC",48,1,22,0,4,1,3,1,3,1,1,1,3,3,1,3,1,3,1,4,4,1,4,1,2,1,3,1,1,4,4,3,2,1,1,5,3,1,1,1,6,6,7,7,7,7,7,7,7
"142","BUA",49,1,26,1,2,2,3,3,4,3,5,4,5,5,4,3,4,5,3,4,3,2,3,4,1,1,1,3,1,5,2,1,4,1,1,1,2,2,2,4,9,9,3.83333333333333,4,4,4,4,4,3
"143","BUB",49,1,21,1,4,1,3,1,2,1,1,1,3,1,1,2,1,2,1,1,1,1,3,1,2,2,1,2,1,3,1,1,4,1,1,1,1,1,1,4,8,7,5.5,7,7,7,4,4,4
"144","BUC",49,1,22,0,4,1,3,2,3,1,1,1,3,2,1,2,1,3,2,3,3,2,3,1,2,2,2,1,1,3,2,1,4,1,1,2,3,1,2,2,8,6,4.83333333333333,7,6,4,5,4,3
"145","BVA",50,1,22,0,4,1,3,2,3,1,1,1,3,3,1,4,2,4,3,4,3,2,4,1,1,1,2,1,1,5,4,3,3,3,1,3,4,1,1,3,3,3,7,7,7,7,7,7,7
"146","BVB",50,1,36,1,2,3,2,2,2,1,1,1,2,2,2,2,1,2,1,4,4,2,2,1,1,1,1,1,1,4,4,2,3,1,1,3,3,2,1,3,7,6,1,1,1,1,1,1,1
"147","BVC",50,1,21,0,4,2,1,1,1,1,1,1,2,1,1,2,2,1,2,1,3,1,1,1,3,2,1,2,1,3,2,1,5,2,1,1,1,2,1,4,7,5,2,5,2,1,2,1,1
"148","BWA",51,1,24,0,4,2,4,3,4,2,2,1,4,4,1,3,3,4,3,4,3,1,3,2,3,2,1,3,2,4,4,2,3,2,1,4,4,2,2,3,5,5,4.5,4,5,3,6,5,4
"149","BWB",51,1,23,1,4,3,3,1,2,1,1,1,3,3,2,4,1,4,3,4,4,1,4,1,1,1,2,1,1,4,4,2,3,1,1,3,3,1,1,2,5,3,3.16666666666667,2,3,4,4,3,3
"150","BWC",51,1,22,0,4,2,3,2,4,1,1,1,3,3,1,3,2,2,4,3,3,3,3,2,2,1,2,4,2,4,3,2,3,2,2,3,3,1,1,2,7,7,4.16666666666667,4,3,4,4,6,4
"151","BXA",52,1,25,1,3,1,3,2,5,1,1,1,3,3,3,2,1,2,2,5,4,2,4,1,2,2,3,1,2,5,4,3,2,1,1,4,2,1,1,2,3,2,6,5,6,7,6,7,5
"152","BXB",52,1,20,1,4,1,2,1,2,1,1,1,3,3,1,3,1,3,3,3,4,2,4,1,1,1,2,1,1,4,3,3,3,1,1,2,3,1,1,3,7,7,7,7,7,7,7,7,7
"153","BXC",52,1,24,1,3,1,1,1,3,1,2,1,3,3,1,2,2,2,3,3,3,2,3,1,2,1,2,1,1,4,3,2,3,1,1,2,2,1,1,1,4,3,3.66666666666667,2,4,5,3,1,7
"154","BYA",53,1,23,0,4,2,4,2,3,3,1,1,4,3,1,3,2,3,1,3,3,2,3,1,1,1,1,2,1,4,3,2,3,1,1,3,3,1,1,2,7,7,7,7,7,7,7,7,7
"155","BYB",53,1,25,0,3,1,2,1,2,2,1,1,1,2,2,3,2,1,2,3,3,3,2,1,2,2,1,1,1,4,4,1,3,2,1,3,3,1,1,3,7,6,6.83333333333333,6,7,7,7,7,7
"156","BYC",53,1,21,0,3,1,3,2,1,1,1,2,3,2,2,3,2,2,2,4,3,1,3,1,2,1,2,2,1,4,2,1,3,2,1,1,2,1,1,3,1,1,7,7,7,7,7,7,7
"157","BZA",54,1,24,1,4,4,3,5,2,1,3,1,3,2,4,3,1,2,5,3,2,5,1,4,3,1,2,4,1,4,2,2,4,2,2,2,2,2,4,5,6,8,3.5,4,5,3,2,4,3
"158","BZC",54,1,22,1,4,2,4,2,5,1,2,1,4,5,1,3,1,4,4,4,3,3,4,2,2,1,2,3,1,5,3,3,3,1,1,2,5,1,1,3,7,6,3.5,4,4,1,4,4,4
