"","X","Gender","Treatment","Dice_report","Report_time","The.ratio.between.the.dice.roll.and.the.possible.reward.is...","What.is.the.chance.that.you.will.get.the.reward.","My.dice.role.was.fully.anonymous.only.I.could.know.what.I.rolled.","Several.students.will.receive.a.monetary.reward.for.the.dice.under.cup.game.","Age","MotherTongue","Nationality","Study","What.was.your.perceived.time.pressure.during.the.die.roll.","Have.you.ever.participated.in.an.experiment.with.a.comparable.die.rolling.task."
"1",1,1,1,5,6.123,"The reward (in euro) is two times the outcome of the dice roll",56,"Strongly agree","Strongly agree","22","Luxembourgish","Luxembourgish","Communication Science","Very high","Yes"
"2",2,0,1,5,3.649,"The reward (in euro) is two times the outcome of the dice roll",75,"Neutral","Agree","19","Russian","Russian","Business and Economics","High","Yes"
"3",3,0,1,2,4.147,"The reward (in euro) is two times the outcome of the dice roll",25,"Strongly agree","Strongly agree","18","Dutch","Dutch","sociale georgafie","High","Yes"
"4",4,0,1,6,7.649,"The reward (in euro) is two times the outcome of the dice roll",6,"Neutral","Strongly disagree","22","Greek","Greek","Psychology Bachelor","Neutral","Yes"
"5",5,1,1,3,7.552,"The reward (in euro) is two times the outcome of the dice roll",50,"Agree","Agree","23","Dutch","dutch","legal psychology","Neutral","Yes"
"6",6,1,0,4,6.085,"The reward (in euro) is two times the outcome of the dice roll",10,"Strongly agree","Strongly agree","22","Dutch","Dutch","Conflict Resolution and Governance (MSc)","Neutral","Yes"
"7",7,1,1,6,5.437,"The reward (in euro) is two times the outcome of the dice roll",86,"Strongly agree","Strongly agree","18","Dutch","Dutch","Psychologie","Neutral","Yes"
"8",8,0,0,4,4.435,"The reward (in euro) is two times the outcome of the dice roll",83,"Strongly agree","Strongly agree","18","Dutch","Dutch","sociale geografie en planologie","Neutral","Yes"
"9",9,0,0,4,6.621,"The reward (in euro) is two times the outcome of the dice roll",19,"Strongly agree","Strongly agree","20","German","German","Psychology","Neutral","Yes"
"10",10,1,0,5,5.273,"The reward (in euro) is two times the outcome of the dice roll",25,"Strongly agree","Strongly agree","19","Dutch","Dutch","Psychologie","Low","Yes"
"11",11,0,1,3,5.775,"The reward (in euro) is two times the outcome of the dice roll",33,"Strongly agree","Strongly agree","20","Dutch","Dutch","Psychologie","Low","Yes"
"12",12,0,1,3,0.996,"The reward (in euro) is two times the outcome of the dice roll",50,"Strongly agree","Strongly agree","18","Hebrew","israeli","psychology","Low","Yes"
"13",13,1,0,4,7.458,"The reward (in euro) is half of the outcome of the dice roll",61,"Agree","Agree","19","Hungarian","Hungarian","psychology","Low","Yes"
"14",14,1,1,4,5.003,"The reward (in euro) is half of the outcome of the dice roll",100,"Strongly agree","Strongly agree","22","Korean/English","South Korean","International Trade and Investment Law","Low","Yes"
"15",15,0,0,3,6.129,"The reward (in euro) is equal to the outcome of the dice roll",17,"Strongly agree","Strongly agree","19","Croatian","Croatian","Psychology","Very low","Yes"
"16",16,1,1,1,7.061,"The reward (in euro) is equal to the outcome of the dice roll",29,"Agree","Agree","24","Croatian","Dutch","Medicine","Very high","No"
"17",17,0,1,4,4.162,"The reward (in euro) is two times the outcome of the dice roll",100,"Strongly agree","Agree","22","Egyptisch","Dutch","Master Business Administration","Very high","No"
"18",18,1,1,1,6.053,"The reward (in euro) is two times the outcome of the dice roll",15,"Strongly agree","Agree","23","English","British","International Development Studies","Very high","No"
"19",19,1,0,4,5.069,"The reward (in euro) is two times the outcome of the dice roll",84,"Strongly agree","Agree","24","English","American","International Development Studies","Very high","No"
"20",20,1,1,4,5.191,"The reward (in euro) is two times the outcome of the dice roll",50,"Strongly agree","Strongly agree","23","Dutch","Dutch","psychologie","Very high","No"
"21",21,0,1,6,5.322,"The reward (in euro) is two times the outcome of the dice roll",9,"Strongly agree","Strongly agree","20","Turkish","German","communication science bachelor","Very high","No"
"22",22,1,1,3,4.839,"The reward (in euro) is half of the outcome of the dice roll",30,"Disagree","Neutral","24","dutch","Belgian","Drug development","Very high","No"
"23",23,1,0,2,8.854,"The reward (in euro) is equal to the outcome of the dice roll",18,"Agree","Strongly agree","20","German","German","Psychology","High","No"
"24",24,0,0,3,8.176,"The reward (in euro) is equal to the outcome of the dice roll",31,"Strongly agree","Disagree","24","German","German","Social Sciences","High","No"
"25",25,1,1,5,3.012,"The reward (in euro) is equal to the outcome of the dice roll",10,"Strongly agree","Agree","21","English","German","Psychology","High","No"
"26",26,1,0,3,4.803,"The reward (in euro) is two times the outcome of the dice roll",15,"Strongly disagree","Strongly disagree","21","Dutch","Dutch","Research Master Cognitive and Clinical Neuroscience (Drug Development and Neurohealth)","High","No"
"27",27,0,1,6,6.454,"The reward (in euro) is two times the outcome of the dice roll",10,"Disagree","Agree","26","Dutch","Dutch","Interfacultaire Lerarenopleiding Engels (ILO)","High","No"
"28",28,1,1,3,7.438,"The reward (in euro) is two times the outcome of the dice roll",80,"Disagree","Agree","19","Dutch","Dutch","communication science","High","No"
"29",29,1,0,6,6.186,"The reward (in euro) is two times the outcome of the dice roll",60,"Neutral","Disagree","22","Dutch","Dutch","algemene sociale wetenschappen","High","No"
"30",30,1,1,6,4.332,"The reward (in euro) is two times the outcome of the dice roll",61,"Neutral","Neutral","20","Greek","Greek","Communication Science","High","No"
"31",31,0,1,2,2.426,"The reward (in euro) is two times the outcome of the dice roll",39,"Neutral","Agree","20","Dutch","Dutch","Economics and Business","High","No"
"32",32,1,0,3,2.459,"The reward (in euro) is two times the outcome of the dice roll",16,"Neutral","Strongly agree","21","Dutch","Dutch","Communicatiewetenschap","High","No"
"33",33,0,1,2,4.748,"The reward (in euro) is two times the outcome of the dice roll",16,"Agree","Strongly disagree","17","Dutch","Dutch","Middelbare School","High","No"
"34",34,1,0,2,9.371,"The reward (in euro) is two times the outcome of the dice roll",25,"Agree","Disagree","18","Dutch","Dutch","Sociale Geografie en Planologie","High","No"
"35",35,1,1,4,6.883,"The reward (in euro) is two times the outcome of the dice roll",27,"Agree","Disagree","20","Russian","British","Political Science","High","No"
"36",36,1,1,4,7.219,"The reward (in euro) is two times the outcome of the dice roll",20,"Agree","Neutral","20","Dutch","Dutch","Medicine","High","No"
"37",37,0,0,5,2.762,"The reward (in euro) is two times the outcome of the dice roll",70,"Agree","Agree","18","Arabic","Egyptian","economics and business economics","High","No"
"38",38,1,1,1,5.876,"The reward (in euro) is two times the outcome of the dice roll",10,"Agree","Agree","22","Chinese","Chinese","Economics and Finance","High","No"
"39",39,1,0,1,6.481,"The reward (in euro) is two times the outcome of the dice roll",80,"Agree","Agree","19","Dutch","Dutch","Psychobiologie","High","No"
"40",40,1,0,3,10.371,"The reward (in euro) is two times the outcome of the dice roll",11,"Agree","Agree","19","Dutch","Dutch","psychology","High","No"
"41",41,0,1,5,6.995,"The reward (in euro) is two times the outcome of the dice roll",23,"Agree","Agree","21","Dutch","Dutch","Algemene Sociale Wetenschappen","High","No"
"42",42,1,1,2,3.194,"The reward (in euro) is two times the outcome of the dice roll",25,"Agree","Agree","21","Dutch","Dutch","business administration: digital marketing","High","No"
"43",43,0,1,2,4.291,"The reward (in euro) is two times the outcome of the dice roll",20,"Agree","Agree","24","Dutch","Dutch","Business Administration","High","No"
"44",44,0,1,5,3.835,"The reward (in euro) is two times the outcome of the dice roll",50,"Agree","Agree","26","Dutch","Dutch","lerarenopleiding eerste graad geschiedenis","High","No"
"45",45,1,0,6,8.247,"The reward (in euro) is two times the outcome of the dice roll",30,"Agree","Agree","23","Dutch","Dutch","MSc. Business Administration - Digital Marketing Track","High","No"
"46",46,0,0,4,6.819,"The reward (in euro) is two times the outcome of the dice roll",5,"Agree","Agree","24","Dutch","Dutch","Economie en Financiering","High","No"
"47",47,1,1,4,6.099,"The reward (in euro) is two times the outcome of the dice roll",10,"Agree","Agree","24","English","American","I am not currently a student","High","No"
"48",48,1,1,5,3.684,"The reward (in euro) is two times the outcome of the dice roll",50,"Agree","Agree","24","Norwegian","Norwegian","Communication Science","High","No"
"49",49,1,1,1,2.904,"The reward (in euro) is two times the outcome of the dice roll",10,"Agree","Agree","20","Polish","Polish","Communication Science","High","No"
"50",50,1,1,4,7.557,"The reward (in euro) is two times the outcome of the dice roll",50,"Agree","Strongly agree","18","Dutch","Dutch","psychologie","High","No"
"51",51,0,1,6,5.3,"The reward (in euro) is two times the outcome of the dice roll",20,"Agree","Strongly agree","24","Dutch","Dutch","Business Administration","High","No"
"52",52,1,0,3,8.153,"The reward (in euro) is two times the outcome of the dice roll",15,"Strongly agree","Strongly disagree","21","Dutch","Dutch","Biomedical Sciences","High","No"
"53",53,0,1,5,6.377,"The reward (in euro) is two times the outcome of the dice roll",50,"Strongly agree","Neutral","25","Dutch","Dutch","Lerarenopleiding biologie","High","No"
"54",54,1,1,1,6.32,"The reward (in euro) is two times the outcome of the dice roll",1,"Strongly agree","Neutral","22","Dutch","Dutch","Psychologie","High","No"
"55",55,0,1,2,7.661,"The reward (in euro) is two times the outcome of the dice roll",50,"Strongly agree","Neutral","22","German","Austria","Business","High","No"
"56",56,1,0,5,2.936,"The reward (in euro) is two times the outcome of the dice roll",50,"Strongly agree","Neutral","18","Russian","Ukrainian","Business Administration","High","No"
"57",57,1,0,1,14.511,"The reward (in euro) is two times the outcome of the dice roll",0,"Strongly agree","Neutral","21","Tamil","Indian","Fundamental Neuroscience","High","No"
"58",58,0,1,5,6.784,"The reward (in euro) is two times the outcome of the dice roll",13,"Strongly agree","Agree","25","Dutch","Dutch","Rechten","High","No"
"59",59,1,1,2,7.974,"The reward (in euro) is two times the outcome of the dice roll",52,"Strongly agree","Agree","20","Dutch","Dutch","Bachelor Algemene Sociale Wetenschapen","High","No"
"60",60,0,0,6,8.546,"The reward (in euro) is two times the outcome of the dice roll",10,"Strongly agree","Agree","21","Dutch","Dutch","Onderwijswetenschappen","High","No"
"61",61,1,1,3,6.404,"The reward (in euro) is two times the outcome of the dice roll",50,"Strongly agree","Agree","28","Dutch","Dutch","Pedagogische Wetenschappen","High","No"
"62",62,0,1,3,7.407,"The reward (in euro) is two times the outcome of the dice roll",21,"Strongly agree","Agree","18","Dutch","Dutch","business administration","High","No"
"63",63,0,1,1,3.979,"The reward (in euro) is two times the outcome of the dice roll",17,"Strongly agree","Agree","22","Dutch","Dutch","Software engineering","High","No"
"64",64,0,1,4,7.089,"The reward (in euro) is two times the outcome of the dice roll",10,"Strongly agree","Agree","20","Dutch","Dutch","Rechtsgeleerdheid","High","No"
"65",65,0,1,6,3.711,"The reward (in euro) is two times the outcome of the dice roll",15,"Strongly agree","Agree","20","Dutch","Dutch","Rechtsgeleerdheid","High","No"
"66",66,1,0,1,4.948,"The reward (in euro) is two times the outcome of the dice roll",30,"Strongly agree","Agree","21","Dutch","Dutch","Sociologie","High","No"
"67",67,1,0,2,1.588,"The reward (in euro) is two times the outcome of the dice roll",20,"Strongly agree","Agree","22","Dutch","Dutch","geschiedenis","High","No"
"68",68,0,0,5,8.324,"The reward (in euro) is two times the outcome of the dice roll",5,"Strongly agree","Agree","32","Dutch","Dutch","Lerarenopleiding","High","No"
"69",69,0,1,4,7.233,"The reward (in euro) is two times the outcome of the dice roll",16,"Strongly agree","Agree","23","Dutch","Dutch","Future Planet Studies","High","No"
"70",70,1,1,5,5.625,"The reward (in euro) is two times the outcome of the dice roll",80,"Strongly agree","Agree","21","Dutch","Dutch","Master Biomedical Sciences","High","No"
"71",71,1,1,5,5.835,"The reward (in euro) is two times the outcome of the dice roll",10,"Strongly agree","Agree","18","dutch","dutch","biomedical sciences","High","No"
"72",72,0,1,2,7.148,"The reward (in euro) is two times the outcome of the dice roll",33,"Strongly agree","Agree","23","Italian","Italian","Communication Science","High","No"
"73",73,1,1,3,6.975,"The reward (in euro) is two times the outcome of the dice roll",30,"Strongly agree","Agree","26","Swedish","Swedish","Conflict Resolution and Governance","High","No"
"74",74,1,0,6,5.86,"The reward (in euro) is two times the outcome of the dice roll",33,"Strongly agree","Strongly agree","27","Dutch","Dutch","Interfacultaire lerarenopleiding (Opleiding tot eerstegraads docent Engels)","High","No"
"75",75,0,1,6,3.901,"The reward (in euro) is two times the outcome of the dice roll",5,"Strongly agree","Strongly agree","20","Dutch","Dutch","antropologie","High","No"
"76",76,0,0,5,4.044,"The reward (in euro) is two times the outcome of the dice roll",16,"Strongly agree","Strongly agree","21","Dutch","Dutch","ASW","High","No"
"77",77,1,1,5,4.408,"The reward (in euro) is two times the outcome of the dice roll",20,"Strongly agree","Strongly agree","23","Dutch","Dutch","Fiscaal recht","High","No"
"78",78,0,1,4,5.335,"The reward (in euro) is two times the outcome of the dice roll",33,"Strongly agree","Strongly agree","22","Dutch","Dutch","Business","High","No"
"79",79,1,1,6,5.944,"The reward (in euro) is two times the outcome of the dice roll",60,"Strongly agree","Strongly agree","20","Dutch","Dutch","Communicatiewetenschap","High","No"
"80",80,1,1,6,4.331,"The reward (in euro) is two times the outcome of the dice roll",100,"Strongly agree","Strongly agree","19","Dutch","Dutch","Psychologie","High","No"
"81",81,1,1,6,4.52,"The reward (in euro) is two times the outcome of the dice roll",100,"Strongly agree","Strongly agree","20","English","British","Political Sciences","High","No"
"82",82,1,1,6,4.603,"The reward (in euro) is two times the outcome of the dice roll",65,"Strongly agree","Strongly agree","28","English","Australian","Law","High","No"
"83",83,1,0,1,6.544,"The reward (in euro) is two times the outcome of the dice roll",10,"Strongly agree","Strongly agree","25","English","Austrian","MSc Business Administration","High","No"
"84",84,0,1,1,5.595,"The reward (in euro) is two times the outcome of the dice roll",16,"Strongly agree","Strongly agree","20","Italy","Italian","Communication Science","High","No"
"85",85,1,1,1,7.322,"The reward (in euro) is half of the outcome of the dice roll",10,"Strongly agree","Disagree","18","italian","Italian","political science","High","No"
"86",86,1,1,6,2.72,"The reward (in euro) is half of the outcome of the dice roll",50,"Strongly agree","Neutral","23","German","German","Fundamental Neuroscience","High","No"
"87",87,0,0,4,9.381,"The reward (in euro) is four times the outcome of the dice roll",50,"Agree","Neutral","20","English","Dutch","Psychology","High","No"
"88",88,1,1,6,5.148,"The reward (in euro) is four times the outcome of the dice roll",19,"Strongly agree","Agree","23","Dutch","Dutch","Privaatrecht","High","No"
"89",89,0,1,4,5.491,"The reward (in euro) is four times the outcome of the dice roll",25,"Strongly agree","Strongly agree","25","Dutch","Dutch","Interfacultaire lerarenopleiding; Engels","High","No"
"90",90,1,1,1,6.067,"The reward (in euro) is equal to the outcome of the dice roll",10,"Agree","Neutral","26","Dutch","Dutch","Research Master Child Development and Education","Neutral","No"
"91",91,1,1,4,5.797,"The reward (in euro) is equal to the outcome of the dice roll",40,"Agree","Neutral","22","Italian","Italian","Law","Neutral","No"
"92",92,0,1,3,5.383,"The reward (in euro) is equal to the outcome of the dice roll",20,"Agree","Neutral","24","Italian","Italian","Medicine","Neutral","No"
"93",93,1,1,2,6.537,"The reward (in euro) is equal to the outcome of the dice roll",61,"Agree","Neutral","24","Turkish","Dutch","bouwkunde","Neutral","No"
"94",94,1,1,3,5.339,"The reward (in euro) is equal to the outcome of the dice roll",61,"Agree","Agree","50","Dutch","Dutch","Educative Master","Neutral","No"
"95",95,1,1,1,2.897,"The reward (in euro) is equal to the outcome of the dice roll",10,"Agree","Agree","21","Korean","South Korea","Social Science","Neutral","No"
"96",96,0,0,6,13.679,"The reward (in euro) is equal to the outcome of the dice roll",100,"Agree","Strongly agree","19","Dutch","Dutch","Rechten","Neutral","No"
"97",97,1,0,5,22.405,"The reward (in euro) is equal to the outcome of the dice roll",15,"Strongly agree","Strongly disagree","18","French","French","Political Science","Neutral","No"
"98",98,1,0,6,3.017,"The reward (in euro) is equal to the outcome of the dice roll",10,"Strongly agree","Agree","18","English","Swedish","Communication Science","Neutral","No"
"99",99,1,1,3,6.989,"The reward (in euro) is equal to the outcome of the dice roll",40,"Strongly agree","Agree","22","Finnish","Finnish","communication science","Neutral","No"
"100",100,0,0,2,6.338,"The reward (in euro) is equal to the outcome of the dice roll",10,"Strongly agree","Strongly agree","23","Luxembourgish","Luxembourgish","Communication Science","Neutral","No"
"101",101,1,0,3,10.765,"The reward (in euro) is two times the outcome of the dice roll",81,"Strongly disagree","Strongly agree","24","Dutch","Dutch","Culturele Antropologie en Ontwikkelingssociologie","Neutral","No"
"102",102,0,1,4,4.493,"The reward (in euro) is two times the outcome of the dice roll",12,"Disagree","Neutral","24","Dutch","Dutch","Sociologie","Neutral","No"
"103",103,1,0,6,5.639,"The reward (in euro) is two times the outcome of the dice roll",33,"Neutral","Strongly disagree","23","Dutch","Dutch","Psychologie","Neutral","No"
"104",104,1,1,4,3.396,"The reward (in euro) is two times the outcome of the dice roll",71,"Neutral","Neutral","24","Khmer","Cambodian","political science","Neutral","No"
"105",105,1,1,6,6.367,"The reward (in euro) is two times the outcome of the dice roll",10,"Neutral","Agree","17","Azerbaijani","Azerbaijan","communication science","Neutral","No"
"106",106,1,0,4,8.358,"The reward (in euro) is two times the outcome of the dice roll",6,"Neutral","Agree","18","Dutch","Dutch","Gezondheidswetenschappen","Neutral","No"
"107",107,0,1,6,4.98,"The reward (in euro) is two times the outcome of the dice roll",33,"Agree","Disagree","22","Dutch","Dutch","BSc Econometrie","Neutral","No"
"108",108,1,1,4,4.555,"The reward (in euro) is two times the outcome of the dice roll",9,"Agree","Disagree","21","Dutch","Dutch","Geneeskunde","Neutral","No"
"109",109,0,1,3,5.153,"The reward (in euro) is two times the outcome of the dice roll",20,"Agree","Neutral","21","Dutch","Dutch","pedagogische wetenschappen","Neutral","No"
"110",110,1,1,1,5.829,"The reward (in euro) is two times the outcome of the dice roll",30,"Agree","Neutral","19","Dutch","Dutch","psychology","Neutral","No"
"111",111,1,1,5,4.034,"The reward (in euro) is two times the outcome of the dice roll",89,"Agree","Neutral","19","Greek","Greek","Political science","Neutral","No"
"112",112,1,0,5,6.318,"The reward (in euro) is two times the outcome of the dice roll",50,"Agree","Neutral","23","Marokaans","Dutch","Hogeschool van Amsterdam","Neutral","No"
"113",113,1,1,4,5.577,"The reward (in euro) is two times the outcome of the dice roll",10,"Agree","Agree","24","Chinese","Chinese","Economics","Neutral","No"
"114",114,0,0,3,12.201,"The reward (in euro) is two times the outcome of the dice roll",25,"Agree","Agree","21","Dutch","Dutch","Beta-gamma met een major bedrijfskunde","Neutral","No"
"115",115,0,0,2,6.061,"The reward (in euro) is two times the outcome of the dice roll",30,"Agree","Agree","18","Dutch","Dutch","Business Administration","Neutral","No"
"116",116,1,0,1,6.594,"The reward (in euro) is two times the outcome of the dice roll",5,"Agree","Agree","20","Dutch","Dutch","Sociologie","Neutral","No"
"117",117,0,0,1,37.749,"The reward (in euro) is two times the outcome of the dice roll",7,"Agree","Agree","18","Dutch","Dutch","Rechtsgeleerdheid","Neutral","No"
"118",118,0,0,2,9.565,"The reward (in euro) is two times the outcome of the dice roll",16,"Agree","Agree","16","Dutch","Curacao","-","Neutral","No"
"119",119,1,0,1,9.231,"The reward (in euro) is two times the outcome of the dice roll",NA,"Agree","Agree","22","Dutch","Dutch","economie en bedrijfseconomie","Neutral","No"
"120",120,1,1,1,6.54,"The reward (in euro) is two times the outcome of the dice roll",NA,"Agree","Agree","20","Dutch","Dutch","Antropologie","Neutral","No"
"121",121,1,1,3,5.778,"The reward (in euro) is two times the outcome of the dice roll",50,"Agree","Agree","19 jaar","Dutch","Dutch","Gezondheidswetenschappen","Neutral","No"
"122",122,1,1,4,6.369,"The reward (in euro) is two times the outcome of the dice roll",40,"Agree","Agree","21","English","German","Business Administration","Neutral","No"
"123",123,0,0,2,6.088,"The reward (in euro) is two times the outcome of the dice roll",50,"Agree","Agree","18","English","French","Business admin","Neutral","No"
"124",124,0,0,6,12.845,"The reward (in euro) is two times the outcome of the dice roll",50,"Agree","Agree","19","French","Belgian","Business Administration","Neutral","No"
"125",125,1,1,6,2.098,"The reward (in euro) is two times the outcome of the dice roll",20,"Agree","Agree","23","Portuguese","American","Communication Science","Neutral","No"
"126",126,1,0,4,9.033,"The reward (in euro) is two times the outcome of the dice roll",25,"Agree","Agree","24","Swedish","Swedish","Political Science","Neutral","No"
"127",127,0,0,5,0,"The reward (in euro) is two times the outcome of the dice roll",16,"Strongly agree","Disagree","16","Dutch","Dutch","5 VWO","Neutral","No"
"128",128,1,0,2,12.158,"The reward (in euro) is two times the outcome of the dice roll",15,"Strongly agree","Disagree","19","French","Belgian","Political Science","Neutral","No"
"129",129,1,0,4,2.359,"The reward (in euro) is two times the outcome of the dice roll",20,"Strongly agree","Neutral","22","Dutch","Dutch","Psychologie","Neutral","No"
"130",130,1,0,4,1.825,"The reward (in euro) is two times the outcome of the dice roll",50,"Strongly agree","Neutral","24","Dutch","Dutch","Klinische Psychologie","Neutral","No"
"131",131,1,1,2,3.817,"The reward (in euro) is two times the outcome of the dice roll",80,"Strongly agree","Neutral","21","Dutch","Dutch","Rechtsgeleerdheid","Neutral","No"
"132",132,1,0,1,6.166,"The reward (in euro) is two times the outcome of the dice roll",17,"Strongly agree","Neutral","20","Dutch","Dutch","Rechtsgeleerdheid","Neutral","No"
"133",133,1,0,3,8.973,"The reward (in euro) is two times the outcome of the dice roll",5,"Strongly agree","Neutral","20","German","German","Medicine","Neutral","No"
"134",134,0,1,3,7.777,"The reward (in euro) is two times the outcome of the dice roll",NA,"Strongly agree","Neutral","22","Turkish","Turkish","Cognitive Neuroscience","Neutral","No"
"135",135,1,0,2,12.354,"The reward (in euro) is two times the outcome of the dice roll",40,"Strongly agree","Agree","19","Bulgarian","Bulgarian","Communication Science","Neutral","No"
"136",136,1,0,2,3.261,"The reward (in euro) is two times the outcome of the dice roll",25,"Strongly agree","Agree","22","Chinese","Chinese","Economics and finance","Neutral","No"
"137",137,0,0,2,8.446,"The reward (in euro) is two times the outcome of the dice roll",30,"Strongly agree","Agree","18","Dutch","Dutch","Informatica","Neutral","No"
"138",138,0,1,1,5.741,"The reward (in euro) is two times the outcome of the dice roll",14,"Strongly agree","Agree","19","Dutch","Dutch","informatica","Neutral","No"
"139",139,1,1,2,4.686,"The reward (in euro) is two times the outcome of the dice roll",10,"Strongly agree","Agree","20","Dutch","Dutch","Geneeskunde","Neutral","No"
"140",140,0,0,6,11.025,"The reward (in euro) is two times the outcome of the dice roll",100,"Strongly agree","Agree","22","Dutch","Dutch","Law","Neutral","No"
"141",141,0,1,5,4.936,"The reward (in euro) is two times the outcome of the dice roll",75,"Strongly agree","Agree","22","Dutch","Dutch","rechtsgeleerdheid","Neutral","No"
"142",142,1,1,6,6.792,"The reward (in euro) is two times the outcome of the dice roll",62,"Strongly agree","Agree","22","Dutch","Dutch","Communicatie","Neutral","No"
"143",143,1,1,5,3.427,"The reward (in euro) is two times the outcome of the dice roll",10,"Strongly agree","Agree","25","Dutch","Dutch","International trade and investment law","Neutral","No"
"144",144,1,0,5,5.172,"The reward (in euro) is two times the outcome of the dice roll",90,"Strongly agree","Agree","25","Dutch","Dutch","New Media and Digital Culture","Neutral","No"
"145",145,1,1,5,4.405,"The reward (in euro) is two times the outcome of the dice roll",50,"Strongly agree","Agree","22","Dutch","Dutch","psychologie","Neutral","No"
"146",146,0,1,5,6.913,"The reward (in euro) is two times the outcome of the dice roll",47,"Strongly agree","Agree","21","Dutch","Dutch","Economics and business economics","Neutral","No"
"147",147,1,1,2,6.96,"The reward (in euro) is two times the outcome of the dice roll",28,"Strongly agree","Agree","24","Dutch","Dutch","Psychologie","Neutral","No"
"148",148,1,1,3,3.616,"The reward (in euro) is two times the outcome of the dice roll",20,"Strongly agree","Agree","22","Dutch","Dutch","communicatiewetenschappen","Neutral","No"
"149",149,0,1,1,5.816,"The reward (in euro) is two times the outcome of the dice roll",33,"Strongly agree","Agree","27","Dutch","Dutch","Communicatiewetenschap","Neutral","No"
