"","X","Gender","Treatment","Dice_report","Report_time","The.ratio.between.the.dice.roll.and.the.possible.reward.is...","What.is.the.chance.that.you.will.get.the.reward.","My.dice.role.was.fully.anonymous.only.I.could.know.what.I.rolled.","Several.students.will.receive.a.monetary.reward.for.the.dice.under.cup.game.","Age","MotherTongue","Nationality","Study","What.was.your.perceived.time.pressure.during.the.die.roll.","Have.you.ever.participated.in.an.experiment.with.a.comparable.die.rolling.task."
"150",150,0,1,5,3.35,"The reward (in euro) is two times the outcome of the dice roll",65,"Strongly agree","Agree","23","Dutch","Dutch","International and European tax law","Neutral","No"
"151",151,0,1,2,3.895,"The reward (in euro) is two times the outcome of the dice roll",25,"Strongly agree","Agree","25","Dutch","Dutch","Culturele antropologie en ontwikkelingssociologie","Neutral","No"
"152",152,1,0,3,8.226,"The reward (in euro) is two times the outcome of the dice roll",50,"Strongly agree","Agree","22","Dutch","Dutch","Bouwkunde","Neutral","No"
"153",153,1,1,4,5.03,"The reward (in euro) is two times the outcome of the dice roll",22,"Strongly agree","Agree","20","Dutch","Dutch","Rechtsgeleerdheid","Neutral","No"
"154",154,1,0,2,12.415,"The reward (in euro) is two times the outcome of the dice roll",97,"Strongly agree","Agree","24","English","Indian","law","Neutral","No"
"155",155,1,1,4,7.081,"The reward (in euro) is two times the outcome of the dice roll",20,"Strongly agree","Agree","27","German/English","German","Master in International Development","Neutral","No"
"156",156,1,1,2,5.933,"The reward (in euro) is two times the outcome of the dice roll",72,"Strongly agree","Agree","19","Spanish","Spanish","Psychology","Neutral","No"
"157",157,1,0,5,3.606,"The reward (in euro) is two times the outcome of the dice roll",9,"Strongly agree","Agree","20","Tamil","Indian","Communication Science","Neutral","No"
"158",158,0,0,3,9.318,"The reward (in euro) is two times the outcome of the dice roll",5,"Strongly agree","Strongly agree","24","Catalan","Spanish","Architecture and Economics and Buisness Economics","Neutral","No"
"159",159,1,1,3,6.333,"The reward (in euro) is two times the outcome of the dice roll",33,"Strongly agree","Strongly agree","27","Chinese","Chinese","Economics","Neutral","No"
"160",160,0,1,2,4.78,"The reward (in euro) is two times the outcome of the dice roll",100,"Strongly agree","Strongly agree","24","Dutch","Dutch","Rechtsgeleerdheid","Neutral","No"
"161",161,0,0,4,11.6,"The reward (in euro) is two times the outcome of the dice roll",5,"Strongly agree","Strongly agree","20","Dutch","Dutch","Universitaire Pabo","Neutral","No"
"162",162,1,0,4,8.141,"The reward (in euro) is two times the outcome of the dice roll",30,"Strongly agree","Strongly agree","20","Dutch","Dutch","Rechtsgeleerdheid","Neutral","No"
"163",163,1,1,3,4.619,"The reward (in euro) is two times the outcome of the dice roll",33,"Strongly agree","Strongly agree","18","Dutch","Dutch","Communicatiewetenschap","Neutral","No"
"164",164,1,0,5,6.736,"The reward (in euro) is two times the outcome of the dice roll",30,"Strongly agree","Strongly agree","19","Dutch","Dutch","communicatiewetenschap","Neutral","No"
"165",165,0,1,4,3.675,"The reward (in euro) is two times the outcome of the dice roll",25,"Strongly agree","Strongly agree","21","Dutch","Dutch","Rechtsgeleerdheid","Neutral","No"
"166",166,1,1,1,4.332,"The reward (in euro) is two times the outcome of the dice roll",10,"Strongly agree","Strongly agree","20","Dutch","Dutch","culturele antropologie en ontwikkelingssociologie","Neutral","No"
"167",167,0,1,4,5.588,"The reward (in euro) is two times the outcome of the dice roll",5,"Strongly agree","Strongly agree","23","Dutch","Dutch","Economics","Neutral","No"
"168",168,0,0,6,6.314,"The reward (in euro) is two times the outcome of the dice roll",5,"Strongly agree","Strongly agree","20 jaar","Dutch","Dutch","Communicatiewetenschap","Neutral","No"
"169",169,1,0,5,6.078,"The reward (in euro) is two times the outcome of the dice roll",50,"Strongly agree","Strongly agree","22","Dutch","Dutch","Communicatiewetenschap","Neutral","No"
"170",170,1,1,4,4.097,"The reward (in euro) is two times the outcome of the dice roll",30,"Strongly agree","Strongly agree","21","Dutch","Dutch","Research Master in Cognitive Neuroscience","Neutral","No"
"171",171,1,1,2,6.444,"The reward (in euro) is two times the outcome of the dice roll",30,"Strongly agree","Strongly agree","22","Dutch","Dutch","Arts-Klinisch onderzoeker","Neutral","No"
"172",172,1,1,3,7.361,"The reward (in euro) is two times the outcome of the dice roll",30,"Strongly agree","Strongly agree","18","Dutch","Dutch","Biomedical sciences","Neutral","No"
"173",173,1,0,2,9.394,"The reward (in euro) is two times the outcome of the dice roll",84,"Strongly agree","Strongly agree","18","English","American","Politics, Psychology, Law and Economics","Neutral","No"
"174",174,1,0,6,11.66,"The reward (in euro) is two times the outcome of the dice roll",30,"Strongly agree","Strongly agree","27","English","British","International Development Studies","Neutral","No"
"175",175,1,1,6,5.117,"The reward (in euro) is two times the outcome of the dice roll",37,"Strongly agree","Strongly agree","19","German","German","Econometrics","Neutral","No"
"176",176,0,1,1,6.68,"The reward (in euro) is two times the outcome of the dice roll",NA,"Strongly agree","Strongly agree","23","German","German","Research Master Cognitive and Clinical Neuroscience Fundamental Neuroscience","Neutral","No"
"177",177,0,1,4,2.541,"The reward (in euro) is two times the outcome of the dice roll",100,"Strongly agree","Strongly agree","23","Italian","Italian","research master in fundamental Neuroscience","Neutral","No"
"178",178,1,0,6,7.281,"The reward (in euro) is two times the outcome of the dice roll",71,"Strongly agree","Strongly agree","23","Polish","Polish","European Competition Law","Neutral","No"
"179",179,0,0,4,6.73,"The reward (in euro) is half of the outcome of the dice roll",37,"Agree","Agree","20","Dutch","Dutch","Geneeskunde","Neutral","No"
"180",180,1,0,4,3.576,"The reward (in euro) is half of the outcome of the dice roll",40,"Strongly agree","Neutral","22","Dutch","Dutch","Culturele Antropologie","Neutral","No"
"181",181,1,0,5,10.959,"The reward (in euro) is half of the outcome of the dice roll",51,"Strongly agree","Agree","23","mandarin","singaporean","communication science","Neutral","No"
"182",182,1,0,6,8.378,"The reward (in euro) is four times the outcome of the dice roll",60,"Agree","Neutral","18","Portuguese","Brazilian","Languages","Neutral","No"
"183",183,1,0,1,22.853,"The reward (in euro) is four times the outcome of the dice roll",NA,"Agree","Agree","21","Dutch","Dutch","Criminologie","Neutral","No"
"184",184,1,0,2,4.639,"The reward (in euro) is equal to the outcome of the dice roll",50,"Disagree","Strongly agree","24","Koerdisch","Dutch","Master leraarbevoegdheid Maatschappijleer","Low","No"
"185",185,1,0,5,7.683,"The reward (in euro) is equal to the outcome of the dice roll",39,"Neutral","Disagree","18","Italian","Italian","Foreign Langauges","Low","No"
"186",186,0,0,2,6.962,"The reward (in euro) is equal to the outcome of the dice roll",50,"Neutral","Agree","30","Dutch","Dutch","Quantitative Finance","Low","No"
"187",187,0,1,2,5.275,"The reward (in euro) is equal to the outcome of the dice roll",20,"Strongly agree","Strongly agree","25","Dutch","Dutch","Finance","Low","No"
"188",188,0,0,4,2.916,"The reward (in euro) is equal to the outcome of the dice roll",50,"Strongly agree","Strongly agree","19","Dutch","Dutch","business economics","Low","No"
"189",189,1,0,3,7.836,"The reward (in euro) is equal to the outcome of the dice roll",100,"Strongly agree","Strongly agree","24","English","Australian","Research Master Child Development and Education","Low","No"
"190",190,0,0,4,8.731,"The reward (in euro) is two times the outcome of the dice roll",10,"Strongly disagree","Agree","21","Bulgarian","Bulgarian","BA Communication Science","Low","No"
"191",191,0,0,1,7.125,"The reward (in euro) is two times the outcome of the dice roll",2,"Disagree","Disagree","19","English","Dutch","communication science","Low","No"
"192",192,1,0,6,3.796,"The reward (in euro) is two times the outcome of the dice roll",20,"Disagree","Neutral","19","Italian/English","Italian","Communication Science","Low","No"
"193",193,1,0,5,4.198,"The reward (in euro) is two times the outcome of the dice roll",67,"Disagree","Agree","27","Dutch","Dutch","rechten","Low","No"
"194",194,1,0,6,8.27,"The reward (in euro) is two times the outcome of the dice roll",18,"Neutral","Agree","21","Dutch","Dutch","Sociale geografie en Planologie","Low","No"
"195",195,0,0,4,8.522,"The reward (in euro) is two times the outcome of the dice roll",50,"Neutral","Agree","20","Dutch","Dutch","Fiscaal Recht","Low","No"
"196",196,1,1,4,7.713,"The reward (in euro) is two times the outcome of the dice roll",25,"Neutral","Agree","18","Italian","Italian","languages","Low","No"
"197",197,0,1,5,5.574,"The reward (in euro) is two times the outcome of the dice roll",1,"Neutral","Strongly agree","22","Dutch","Dutch","Economie en Financiering","Low","No"
"198",198,0,0,4,9.251,"The reward (in euro) is two times the outcome of the dice roll",56,"Agree","Neutral","17","Dutch","Dutch","-","Low","No"
"199",199,1,1,3,7.74,"The reward (in euro) is two times the outcome of the dice roll",50,"Agree","Neutral","19","Italian","italian","languages","Low","No"
"200",200,1,0,3,3.49,"The reward (in euro) is two times the outcome of the dice roll",25,"Agree","Agree","24","Chinese","Chinese","communication science - master","Low","No"
"201",201,1,0,5,12.894,"The reward (in euro) is two times the outcome of the dice roll",40,"Agree","Agree","26","Dutch","Dutch","Rechtsgeleerdheid","Low","No"
"202",202,0,1,1,3.99,"The reward (in euro) is two times the outcome of the dice roll",5,"Agree","Agree","18","Dutch","Dutch","business administration","Low","No"
"203",203,0,0,3,6.649,"The reward (in euro) is two times the outcome of the dice roll",20,"Agree","Agree","21","Dutch","Dutch","Communication Science","Low","No"
"204",204,1,1,6,5.222,"The reward (in euro) is two times the outcome of the dice roll",80,"Agree","Agree","21","Dutch","Dutch","Universiteit van Amsterdam","Low","No"
"205",205,1,1,3,5.142,"The reward (in euro) is two times the outcome of the dice roll",50,"Agree","Agree","20","Dutch","Dutch","Sociale Geografie en Planologie","Low","No"
"206",206,1,0,4,3.002,"The reward (in euro) is two times the outcome of the dice roll",20,"Agree","Agree","20","Dutch","Dutch","Bachelor psychologie","Low","No"
"207",207,1,0,2,7.103,"The reward (in euro) is two times the outcome of the dice roll",57,"Agree","Agree","21","French","Swiss","Master Entertainment Communication","Low","No"
"208",208,0,0,6,7.57,"The reward (in euro) is two times the outcome of the dice roll",50,"Agree","Agree","21","German","German","Politics","Low","No"
"209",209,1,0,6,3.847,"The reward (in euro) is two times the outcome of the dice roll",92,"Agree","Agree","21","German","German","Psychology","Low","No"
"210",210,0,0,2,7.23,"The reward (in euro) is two times the outcome of the dice roll",100,"Agree","Agree","31","Ghanees","Dutch","Internationaal en europees belastingrecht","Low","No"
"211",211,1,0,5,11.091,"The reward (in euro) is two times the outcome of the dice roll",80,"Agree","Strongly agree","18","Ukrainian & Russian","Ukrainian","Economics and Business Economics","Low","No"
"212",212,0,0,3,1.917,"The reward (in euro) is two times the outcome of the dice roll",50,"Strongly agree","Neutral","19","Arabic","Egyptian","Political Science","Low","No"
"213",213,0,0,4,5.774,"The reward (in euro) is two times the outcome of the dice roll",43,"Strongly agree","Neutral","29","Farsi","Dutch","Master Fiscaal recht: internationaal en Europees belastingrecht","Low","No"
"214",214,0,1,2,5.671,"The reward (in euro) is two times the outcome of the dice roll",3,"Strongly agree","Neutral","25","Swedish","Swedish","MSc Conflict Resolution and Governance","Low","No"
"215",215,0,1,6,5.693,"The reward (in euro) is two times the outcome of the dice roll",1,"Strongly agree","Agree","25","Dutch","Dutch","msc commerciele rechtspraktijk","Low","No"
"216",216,0,1,5,5.349,"The reward (in euro) is two times the outcome of the dice roll",72,"Strongly agree","Agree","18","Dutch","Dutch","Rechten","Low","No"
"217",217,0,0,5,6.798,"The reward (in euro) is two times the outcome of the dice roll",10,"Strongly agree","Agree","21","Dutch","Dutch","Rechtsgeleerdheid","Low","No"
"218",218,0,0,4,4.67,"The reward (in euro) is two times the outcome of the dice roll",10,"Strongly agree","Agree","21","Dutch","Dutch","Politicologie","Low","No"
"219",219,0,0,1,6.147,"The reward (in euro) is two times the outcome of the dice roll",42,"Strongly agree","Agree","20","Dutch","Dutch","Communication Science","Low","No"
"220",220,1,0,5,6.77,"The reward (in euro) is two times the outcome of the dice roll",70,"Strongly agree","Agree","23","Dutch","Dutch","Master International Development Studies","Low","No"
"221",221,0,0,1,9.34,"The reward (in euro) is two times the outcome of the dice roll",33,"Strongly agree","Agree","22","Dutch","Dutch","economie","Low","No"
"222",222,1,0,2,2.524,"The reward (in euro) is two times the outcome of the dice roll",20,"Strongly agree","Agree","20","Dutch","Dutch","geneeskunde","Low","No"
"223",223,0,0,1,10.079,"The reward (in euro) is two times the outcome of the dice roll",100,"Strongly agree","Agree","20","Dutch","Dutch","Business administration","Low","No"
"224",224,1,0,4,6.035,"The reward (in euro) is two times the outcome of the dice roll",10,"Strongly agree","Agree","20","English","American","Marketing","Low","No"
"225",225,1,0,6,6.377,"The reward (in euro) is two times the outcome of the dice roll",15,"Strongly agree","Agree","20","German","German","Psychology","Low","No"
"226",226,0,1,2,5.646,"The reward (in euro) is two times the outcome of the dice roll",18,"Strongly agree","Agree","18","Italian","Italian","business administration","Low","No"
"227",227,0,0,5,3.004,"The reward (in euro) is two times the outcome of the dice roll",69,"Strongly agree","Agree","19","Kazakh","Kazakh","Business Administration","Low","No"
"228",228,1,0,4,6.634,"The reward (in euro) is two times the outcome of the dice roll",17,"Strongly agree","Agree","20","Polish","Polish","econometrics","Low","No"
"229",229,0,0,6,8.118,"The reward (in euro) is two times the outcome of the dice roll",100,"Strongly agree","Strongly agree","20","Dutch","Dutch","Econometrie en Operations Research","Low","No"
"230",230,0,0,1,12.512,"The reward (in euro) is two times the outcome of the dice roll",50,"Strongly agree","Strongly agree","21","Dutch","Dutch","Future Planet Studies","Low","No"
"231",231,1,1,5,5.201,"The reward (in euro) is two times the outcome of the dice roll",30,"Strongly agree","Strongly agree","20","Dutch","Dutch","Sociale Geografie en Planologie","Low","No"
"232",232,1,0,5,3.501,"The reward (in euro) is two times the outcome of the dice roll",100,"Strongly agree","Strongly agree","23","Dutch","dutch","psychology","Low","No"
"233",233,1,1,5,4.55,"The reward (in euro) is two times the outcome of the dice roll",10,"Strongly agree","Strongly agree","19","Dutch","Dutch","Geneeskunde","Low","No"
"234",234,1,0,4,2.578,"The reward (in euro) is two times the outcome of the dice roll",50,"Strongly agree","Strongly agree","21","German","German","Psychology","Low","No"
"235",235,1,0,2,11.312,"The reward (in euro) is two times the outcome of the dice roll",25,"Strongly agree","Strongly agree","18","Italian","Italian","Communication science","Low","No"
"236",236,1,0,2,3.377,"The reward (in euro) is two times the outcome of the dice roll",20,"Strongly agree","Strongly agree","24","Romanian","romanian","European law","Low","No"
"237",237,1,0,6,20.902,"The reward (in euro) is half of the outcome of the dice roll",25,"Disagree","Agree","24","Chinese","Chinese","economics and business","Low","No"
"238",238,0,1,5,5.358,"The reward (in euro) is half of the outcome of the dice roll",20,"Strongly agree","Neutral","19","Telugu","Indian","Business Admin","Low","No"
"239",239,0,1,3,2.925,"The reward (in euro) is half of the outcome of the dice roll",67,"Strongly agree","Strongly agree","17","Russian","Ukrainian","business and economics","Low","No"
"240",240,0,0,2,8.104,"The reward (in euro) is equal to the outcome of the dice roll",20,"Agree","Agree","21","Dutch","Dutch","Sociologie","Very low","No"
"241",241,1,1,2,6.238,"The reward (in euro) is equal to the outcome of the dice roll",20,"Agree","Agree","18","German","German","PSYCHOLOGY","Very low","No"
"242",242,0,1,2,2.402,"The reward (in euro) is equal to the outcome of the dice roll",15,"Strongly agree","Neutral","20","Dutch","Dutch","sociolohir","Very low","No"
"243",243,0,1,3,3.741,"The reward (in euro) is equal to the outcome of the dice roll",16,"Strongly agree","Strongly agree","31","Dutch","Dutch","Fiscaal recht","Very low","No"
"244",244,0,0,2,3.154,"The reward (in euro) is two times the outcome of the dice roll",18,"Strongly disagree","Strongly agree","25","Dutch","Dutch","Fiscaal recht","Very low","No"
"245",245,0,0,4,12.049,"The reward (in euro) is two times the outcome of the dice roll",50,"Disagree","Neutral","21","Dutch","Dutch","Rechtsgeleerdheid","Very low","No"
"246",246,0,1,6,4.508,"The reward (in euro) is two times the outcome of the dice roll",25,"Neutral","Neutral","22","Dutch","Dutch","Filosofie en politicologie","Very low","No"
"247",247,1,0,5,8.664,"The reward (in euro) is two times the outcome of the dice roll",50,"Neutral","Neutral","23","Greek","Greek","Communication Science Research Masters","Very low","No"
"248",248,0,0,5,12.237,"The reward (in euro) is two times the outcome of the dice roll",17,"Neutral","Strongly agree","21","Dutch","Dutch","Politicologie","Very low","No"
"249",249,0,1,6,2.968,"The reward (in euro) is two times the outcome of the dice roll",0,"Agree","Disagree","21","Norwegian","Norwegian","Political Science","Very low","No"
"250",250,0,0,6,8.341,"The reward (in euro) is two times the outcome of the dice roll",100,"Agree","Agree","21","Dutch","Canadian","Sociale Geografie en Planologie","Very low","No"
"251",251,0,1,1,6.799,"The reward (in euro) is two times the outcome of the dice roll",4,"Agree","Agree","20","Dutch","Dutch","antropologie","Very low","No"
"252",252,0,0,3,11.038,"The reward (in euro) is two times the outcome of the dice roll",NA,"Agree","Agree","20","Dutch","Dutch","Culturele Antropologie en ontwikkelingssociologie","Very low","No"
"253",253,0,0,3,9.569,"The reward (in euro) is two times the outcome of the dice roll",16,"Agree","Agree","19","Dutch","Dutch","Business Administration","Very low","No"
"254",254,0,0,4,2.564,"The reward (in euro) is two times the outcome of the dice roll",50,"Agree","Agree","20","Dutch","Dutch","Business Administration","Very low","No"
"255",255,0,1,5,5.466,"The reward (in euro) is two times the outcome of the dice roll",10,"Agree","Agree","22","Dutch","Dutch","Economics and Finance","Very low","No"
"256",256,1,0,5,3.85,"The reward (in euro) is two times the outcome of the dice roll",5,"Agree","Agree","23","Dutch","Dutch","fiscaal recht","Very low","No"
"257",257,1,0,4,8.447,"The reward (in euro) is two times the outcome of the dice roll",10,"Agree","Agree","19","Papiamentu (Papiaments Curacao)","Dutch","Biomedical Sciences","Very low","No"
"258",258,1,0,1,12.319,"The reward (in euro) is two times the outcome of the dice roll",NA,"Agree","Strongly agree","24","Dutch","Dutch","Bedrijfskunde","Very low","No"
"259",259,0,1,5,2.944,"The reward (in euro) is two times the outcome of the dice roll",16,"Strongly agree","Disagree","24","Spanish","Spanish","EU Law","Very low","No"
"260",260,0,0,4,5.925,"The reward (in euro) is two times the outcome of the dice roll",36,"Strongly agree","Disagree","22","Spanish","Chilean","Fundamental Neuroscience","Very low","No"
"261",261,0,0,3,11.469,"The reward (in euro) is two times the outcome of the dice roll",17,"Strongly agree","Neutral","20","Dutch","Dutch","Informatica","Very low","No"
"262",262,0,0,5,11.188,"The reward (in euro) is two times the outcome of the dice roll",13,"Strongly agree","Neutral","28","Finnish","Finnish","Law","Very low","No"
"263",263,1,0,5,4.33,"The reward (in euro) is two times the outcome of the dice roll",100,"Strongly agree","Neutral","23","Italian","Italian","corporate communication","Very low","No"
"264",264,0,0,5,12.48,"The reward (in euro) is two times the outcome of the dice roll",79,"Strongly agree","Neutral","21","Romanian","Romanian","Economics","Very low","No"
"265",265,1,1,4,4.037,"The reward (in euro) is two times the outcome of the dice roll",50,"Strongly agree","Neutral","24","Spanish","Costarican","fundamental neuroscience","Very low","No"
"266",266,1,0,3,4.405,"The reward (in euro) is two times the outcome of the dice roll",45,"Strongly agree","Agree","18 years old.","Arabic","Egyptian","Economics and Business Economics","Very low","No"
"267",267,0,0,5,6.929,"The reward (in euro) is two times the outcome of the dice roll",50,"Strongly agree","Agree","22","Dutch","Dutch","Planologie","Very low","No"
"268",268,1,0,6,6.691,"The reward (in euro) is two times the outcome of the dice roll",10,"Strongly agree","Agree","18","Dutch","Dutch","Culturele Antropologie en Ontwikkelingssociologie","Very low","No"
"269",269,1,0,6,8.099,"The reward (in euro) is two times the outcome of the dice roll",30,"Strongly agree","Agree","21","Dutch","Dutch","Sociale geografie","Very low","No"
"270",270,0,0,5,11.278,"The reward (in euro) is two times the outcome of the dice roll",16,"Strongly agree","Agree","28","Dutch","Dutch","Master biomedical sciences neurobiology","Very low","No"
"271",271,1,0,6,5.918,"The reward (in euro) is two times the outcome of the dice roll",50,"Strongly agree","Agree","18","Dutch","Dutch","International track in medicine","Very low","No"
"272",272,0,0,1,11.748,"The reward (in euro) is two times the outcome of the dice roll",40,"Strongly agree","Agree","20","English","American","Econometrics and Operations Research","Very low","No"
"273",273,0,0,4,9.071,"The reward (in euro) is two times the outcome of the dice roll",10,"Strongly agree","Agree","24","German","German","Conflict Resolution and Governance","Very low","No"
"274",274,0,0,4,4.787,"The reward (in euro) is two times the outcome of the dice roll",60,"Strongly agree","Strongly agree","25","Dutch","Dutch","Economie","Very low","No"
"275",275,0,0,2,6.22,"The reward (in euro) is two times the outcome of the dice roll",10,"Strongly agree","Strongly agree","20","Dutch","Dutch","Communication Science","Very low","No"
"276",276,0,0,1,12.38,"The reward (in euro) is two times the outcome of the dice roll",6,"Strongly agree","Strongly agree","24","Dutch","Dutch","Economie","Very low","No"
"277",277,0,0,5,2.413,"The reward (in euro) is two times the outcome of the dice roll",33,"Strongly agree","Strongly agree","22","Dutch","Dutch","Marketing & Strategy","Very low","No"
"278",278,1,0,4,7.548,"The reward (in euro) is two times the outcome of the dice roll",8,"Strongly agree","Strongly agree","22","Dutch","Dutch","Bedrijfskunde","Very low","No"
"279",279,1,0,4,7.897,"The reward (in euro) is two times the outcome of the dice roll",20,"Strongly agree","Strongly agree","25","Dutch","Dutch","Business Administration","Very low","No"
"280",280,0,0,4,6.835,"The reward (in euro) is two times the outcome of the dice roll",17,"Strongly agree","Strongly agree","22","Dutch","Dutch","econometrie en latijns amerika studies","Very low","No"
"281",281,1,0,2,15.425,"The reward (in euro) is two times the outcome of the dice roll",7,"Strongly agree","Strongly agree","18","Dutch","Dutch","Geneeskunde","Very low","No"
"282",282,1,0,4,7.148,"The reward (in euro) is two times the outcome of the dice roll",50,"Strongly agree","Strongly agree","18","Dutch","Dutch","Medicine (Geneeskunde)","Very low","No"
"283",283,1,0,6,9.628,"The reward (in euro) is two times the outcome of the dice roll",2,"Strongly agree","Strongly agree","18","Dutch","Dutch","geneeskunde","Very low","No"
"284",284,0,0,5,8.101,"The reward (in euro) is two times the outcome of the dice roll",1,"Strongly agree","Strongly agree","18","Dutch","Dutch","Gezondheidswetenschappen","Very low","No"
"285",285,1,0,6,8.212,"The reward (in euro) is two times the outcome of the dice roll",12,"Strongly agree","Strongly agree","22","Dutch","Dutch","Arts - klinisch onderzoeker","Very low","No"
"286",286,0,0,3,2.461,"The reward (in euro) is two times the outcome of the dice roll",17,"Strongly agree","Strongly agree","22","Dutch","Dutch","Research Master cognitive and clinical neuroscience, fundamental neuroscience","Very low","No"
"287",287,1,0,4,5.505,"The reward (in euro) is two times the outcome of the dice roll",20,"Strongly agree","Strongly agree","23","Dutch","Dutch","Psychologie","Very low","No"
"288",288,0,0,5,7.176,"The reward (in euro) is two times the outcome of the dice roll",25,"Strongly agree","Strongly agree","23","English","Iraqi","Cognitive Neuroscience","Very low","No"
"289",289,0,1,2,5.86,"The reward (in euro) is two times the outcome of the dice roll",100,"Strongly agree","Strongly agree","19","French","Belgian","Business Administration","Very low","No"
"290",290,1,0,5,2.023,"The reward (in euro) is half of the outcome of the dice roll",71,"Agree","Agree","24","Chinese","chinese","anthropology","Very low","No"
"291",291,0,1,6,2.76,"The reward (in euro) is half of the outcome of the dice roll",50,"Strongly agree","Neutral","20","Dutch","Dutch","economics and business","Very low","No"
"292",292,0,1,4,4.216,"The reward (in euro) is half of the outcome of the dice roll",16,"Strongly agree","Strongly agree","27","Dutch","Dutch","Geophysisiche aardwetenschappen","Very low","No"
"293",293,0,1,6,4.032,"The reward (in euro) is half of the outcome of the dice roll",5,"Strongly agree","Strongly agree","26","Dutch","Dutch","Fiscaal Recht","Very low","No"
"294",294,1,0,1,12.638,"The reward (in euro) is four times the outcome of the dice roll",50,"Strongly agree","Agree","21","English","American","Political Science","Very low","No"
"295",295,0,0,1,25.512,"The reward (in euro) is two times the outcome of the dice roll",20,"Neutral","Neutral","18","Urdu","Pakistani","Economics and Business Economics","Neutral","Not sure"
"296",296,1,0,6,9.143,"The reward (in euro) is two times the outcome of the dice roll",80,"Strongly agree","Strongly agree","18 years old","English","French","political science","Neutral","Not sure"
"297",297,0,1,5,4.326,"The reward (in euro) is two times the outcome of the dice roll",10,"Strongly agree","Neutral","22","Dutch","Dutch","Economics and Finance","Very low","Not sure"
